0,1
Comment,Cg mas clt / ca alt dolerite with abund dissem mag; mod - wk fol chilled margins top + bottom; 120.1 - large qtz carb vn sub // core axis assoc mnr shear.
Comment,cg mas Clt dolerite; abund dissem mag; patchy Epi or Ca generally don't coexist; patchy abund dissem leucoxene forms pale grey clots<1.5mm sometimes forms vn selv
Comment_2,cg massive mica
Major Desc,cg massive pegmatite. cg musc tt. fault zones tt observed as zones of increased oxidation. wy to my vuggy.
Major Desc,cg massive pegmatite. cg musc tt. fault zones tt observed as zones of increased oxidation. wy vuggy.
Major Desc,cg massive pegmatite. cg musc tt. fwk to mod oxd and vuggy. cn fe oxideds tt. 
Major Desc,cg massive pegmatite contacts relative planar. cg musc tt.  
Major Desc,cg massive pegmatite contacts relative planar. cg musc tt. fault zones tt observed as zones of increased oxidation. wy vuggy.
Major Desc,cg massive pegmatite contacts relative planar. cg musc tt.  mn oxidation with orange fe oxide mineral present? 
Major Desc,cg massive pegmatite contacts relative planar. cg musc tt.  mn oxidation with orange fe oxide mineral present? some zenoliths up to 10cm tt.
Major Desc,cg massive pegmatite contacts relative planar. cg musc tt. significant gnt dev proximal to contacts.  
Major Desc,cg massive pegmatite contacts relative planar. cg musc tt. significant gnt dev proximal to contacts and tt.  
Major Desc,cg massive pegmatite contacts relative planar. cg musc tt. v cg musc books.
Major Desc,cg massive pegmatite contacts semi irregular. 
Major Desc,"""cg massive pegmatite, lower contact extremely irregular. cg musc tt. fault zones tt observed as zones of increased oxidation. wy vuggy."""
Comment,CG massive sandstone W abund qtz clays.
Comment,Cg mas weakly feld ph dac weakly bx with clt altn in gmass
Comment,Cg mod fol weakly bi altd sdbx unit w dac comp. Ang clasts abund elong parallel to fol clast supported rare sulphide rich clasts.
Comment,Cg mod fsph mas dac w abund irreg ca vns throughout w pa w clt altn.
Description,"""c/g mod. mag. in GRL, semi-massive GU-dominant distorted non-banded."""
Description,c/g mod.-strong mag. in str. fol./lam. bedded CH/AM
Comments,"""cg, msv granite"""
Comments,"cg, msv granite"
Major Desc,cg muscovitic pegmatite.
Comments,CGN ACIC TREM?
Comments,"CGN ACICULAR AM/CH?/TA				Au	Minjar Database.mdb tblGeology DavyhurstGBG_Database					hw
2653	Karara_C	RH271	14	18	Fr_Aux	Upx									Fr	M	L		GN	RD																		HARD				Aux	Minjar Database.mdb tblGeology DavyhurstGBG_Database					mw
2654	Karara_C	RH271	18	22	Fr_Aux	Upx									Fr	W	L		GN	RD																		HAMMER. EOH				Aux	Minjar Database.mdb tblGeology DavyhurstGBG_Database					ww
2655	Karara_C	RH272	0	1	Czc	LUU									Czc	C			br																			UMAFIC				Reg	Minjar Database.mdb tblGeology DavyhurstGBG_Database					hw
2656	Karara_C	RH272	1	7	Ls_Au	UUU									Ls	C	D		BR																							Au	Minjar Database.mdb tblGeology DavyhurstGBG_Database					hw
2657	Karara_C	RH272	7	11	Fr_Aux	Upx									Fr	W	L		GN	RD		Usp																WEAKLY MAGNETIC.MASSIVE.BL CR/MAGANESE? VEINLETS.EOH				Aux	Minjar Database.mdb tblGeology DavyhurstGBG_Database					ww
2658	Karara_C	RH273	0	1	Czc	LUU									Czc	C			br																							Reg	Minjar Database.mdb tblGeology DavyhurstGBG_Database					hw
2659	Karara_C	RH273	1	3	Fr_Aup	Upd									Fr	M			GN	RD		Upx																				Aup	Minjar Database.mdb tblGeology DavyhurstGBG_Database					mw
2660	Karara_C	RH273	3	15	Fr_Aup	Upd									Fr	W			GN	RD																		"
Comment,"""CGN ACICULAR AM/CH?/TA,METM REXLLN?"""
Comment_2,CGN ALLUVIAL SAND WITH CALCRETE FRAGS
Comments,"CGN				Aux	Minjar Database.mdb tblGeology DavyhurstGBG_Database					mw
2797	Karara_C	RH296	0	1	Czc	LUU									Czc	M			or			Upx																				Reg	Minjar Database.mdb tblGeology DavyhurstGBG_Database					mw
2798	Karara_C	RH296	1	20	Fr_Aux	Upx									Fr	W	L		GN	RD		MGA																"
Comment_2,CGN BIOTITE-RICH MAFIC/GABBRO
description,CGN CHLORITE/QZ/FD PORPHYRY AS PER EOH.
Comment_2,CGN MAFIC
Comment_2,CGN MAFIC - GABBRO
COMMENTS,"""CGN,MAS UPX/MGO.HARD,EOH"""
Comment,cgn pisolitic material.
Comments,"""CGN,RAD. EOH"""
Comment_2,CGN SAND WITH FAIRLY ABDT CALCRETE
Comment_2,CGN SAND WITH MINOR CALCRETE FRAGS
Comment_2,CGN SAND WITH SOME CLAY FRAGS
Comment_2,CGN TALC- CHLORITE MAFIC
Comment_2,CGN TALCOSE - CHLORITIC SCHIST
description,CGN U/M
Comments,CGN U OR M WITH TM NEEDLES & REPLACEMENT QZ
Comment,"""Cg - pb to cb strongly fol vbx w finer sandy lenses rare boulder clasts to 1/2 m, some graded beds visible. Boulder clasts si - se rich."""
Comment,"""CG PMBX, LARGE PUMICEOUS CLASTS, PATCHY BLEACHING/SIL ALT,PY // FOLn FROM 573m"""
Comment,"""CG POLYMICT BX, SIL&CLT ALT CLASTS"""
Comment,Cg pumiceous sdst w rare qtz pheno's < 5mm.
Comment,Cg pum sdst w per spo clt altn.
Comment,Cg pum sdst w sec euhedral py and small < 2mm frilly qtz.
Major Desc,cg py aggregate band at lower contact
Description,"""C/g PY, marker horizon"""
Comments,C.G. pyrite
Comments,"""C.G. Pyrite, White Qtz"""
Lith_Desc,c.g pyritic chert
Comments,"""C/g pyroxene-phyric intrusive unit, f/g and sheared at margins"""
Comments,"""C/g pyroxene-phyric mafic intrusive dominant, subordinate f/g sheared intervals"""
Comment,"""cg,qtz-fels phyric rock with occ clasts of coherent dac"""
Comment,Cg qtz sdbx w spo m clt altn and wi w se altn.
Lith_Desc,"cg.qz,musc;v.sil"
Comment,Cg qzph massive to weakly fol rhd chl altn increasing towards base w sp.
Comment,Cg qzph mod fol rhd w dis sp - py throughout.
Comments,cgr
Comments,CGR
Comments,c grain qtz
Comments,+ c green altn
Comments,"""cgr high mg basalt, weakly bleached"""
Comments,cgr hi mg basalt with wk qcbs veining 141.42-141.45 & 142.04-142.05 cp in vein
Comments,cgr mafic with abundt dissem py
Comments,cg sand and clay 50/50%
Comments,cg sands
Comments,cg sands and clays with fee segregation
Comments,cg sands with <10% clay
Comments,cg sand with clay matrix and white gravels
Comments,cg sandy clays
Comments,cg sandy clays <20% clay
Comments,"""CG schelite easily visible around and wihing qz veins. Weak, fine SI blebs throughout"""
Comment,CG SDST AS ABOVE OR GRANULE BX
Comment,CG SDST unit w CLT musc? Altn - acid intrusive?
Comment,"""CG SDST & VC, SIMILAR TO ABOVE"""
Comment,CG SDST WITH OCC BANDS OF QTZ RICH GRANULE BX
Comment,CG SDST WITH WHITE SPOTS-PUMICED
Description,"""c/g sheared, possible Aod with elongate DK AM"""
Lith_Desc,Cg slightly chloritic gabbro as found in GWD155.
Comment,"""Cg slst, sandy txt. Common thin bedding and lam's picked out by wk si and clt alt. Common spo ca alt in thick sandy units. Lam rdd common in last 2-3m, milky rims."""
Comment,Cg Slst weak lams vis in chl altn.
Comment,Cg SP associated with clt altered patches(less than above intervals)
Description,"""c/g str. mag. in lam. CH-MT-GU, 0.5-2mm strong layers"""
Description,c/g str. mag in str. and finely banded CH-GU-CL
Description,"""c/g str. mag in str. c/g GU zone, diss. MT"""
Comment,Cg strongly fsph dac w clt altn in phenos - and abund irreg qtz-ca vns throughout.
Description,"""c/g strong mag. in distinctly banded Aci_E>D, high GU%"""
Comment,"""Cg to gl mass to weakly fol fsph perv clt altd dac w abund irreg qtz - carb vns throughout, sheared contact with dlt."""
Comment,Cg to gl weakly fol clt altd qtz phyric rhyd w chl - ca rich shear zone from 1262 - 1263m. Chl altn in g'mass.
Comment,Cg to Gl weakly foliated pumice breccia with spotty chlc groundmass.
Major Desc,cg to lly mg gabbro/dolerite. well dev ophitic txt with crystal phases to 10mm. numerous thin fg syf chc shears after likely late phase dykes. rare occ dev mg cubic py. mn lly dev only up to 2% mag generally fg and dss. unit generally appears to fine down
Major Desc,cg to lly mg gabbro/dolerite. well dev ophitic txt with crystal phases to 10mm. numerous thin up to 3cm wide fg syf chc shears after likely late phase dykes. rare occ dev mg cubic py. mn lly dev only up to 2% mag generally fg and dss. unit generally appea
Comment,Cg to pb bx w qtz phenos to 6mm clt altn in g'mass
Comment,Cg to pb massive to mod fol qtz feld phy variably clt altd dac.
Comment,Cg to pb massive to weakly fol dacitic vbx w ser altn in g'mass clt altn in clasts. Reg qtz - ca vns throughout trace spotty euhedral py.
Comment,Cg to pb qz fsph mas to v weakly fol dac w ca vns throughout
Comment,Cg to pb weakly fol vbx mtxs with wi w clt altn.
Comment,Cg to pebble dacitic vbx with abun shears throughout shear zones are strongly fol w ser altn and destruction of fol in rock unit. Also ca infill in parts.
Comment,Cg to pebble dac vbx w ca - si altn as infill in jigsaw fit zones wi weak se altn also. Some clasts chl altd.
LithDescription,cg tremolite altered fine-grained mafic rock with abt white qtz chips
Description,c/g version of Hw 2-4mm
Comment,"""CGV, FROM BREAKWAY, RLP/RLN. 30M STH OF COLLAR."""
Comment,"""cgv, mas, fgn, bnd-sif, s mg. 3m of cover."""
Comment,"""cgv, mas fgn, downslope disp. from hillslope."""
Comment,CGV-TRANS COVER 2M.
Comment,Cg weakly fol chl altd feld phy dac.
Comment,Cg weakly fol fsph dac w weakly bx zones throughout. Wi w se in g'mass.
Comment,Cg weakly fol fsph post min dac w mg g'mass and fsph to 8mm.
Comment,Cg weakly fol sbx w carb filled voids in mtxs sandy to pebble brecc. wi weak bi altn in foln. chl altn towards base.
Comment,Cg weakly fol to massive sandstone.
Comment,Cg weakly to mod fol qz phyric rhd w fsph rich zones of dac material also posy some reworked cherty sed bx's of sc3 spo w bi - ca - clt altn throughout.
Comment,Cg weakly to mod fsph mod fol dac w clt - ca filled amyg's and per w-m bi altn.
Comments,"""cg, with mica and chloritised gn chips (variable mafic content)"""
Comments,"cg, with mica and chloritised gn chips (variable mafic content)"
Description,"""c/g wk. mag in GU dominant AM > CH, poorly banded"""
Description,"""c/g wk-mod. mag., in mixed CH-GU/AM, poorly banded"""
Desc14,ch
Comments,CH 2P
Comments,CH 3P
Comment,CH5
Comments,"""CH-absent """"BIF"""""""
COMMENTS,ch after actinolite
COMMENTS,ch after bi and amph
COMMENTS,ch after bi!!!.much bi altn
Major Desc,ch after bt altn (next meter) aft a fol / shd bv.
Comments,CHALCEDONIC LSCA IN CLAY
Comments,Chalcedonic Qz
Comment,CHALCEDONIC SILICA
Comments,chalcedony 25%
Comment,CHALCEDONY/AGATE
Comment,"""chalcedony dominant, strongly silicified clays also present"""
Comments,"chalcedony dominant, strongly silicified clays also present"
Comment, Chalco
Comments,Chalco and Sphalerite stringers.
COMMENT,chalcocite
Lith_Desc,Chalcocite
Lith_Desc,? Chalcocite
COMMENT,CHALCOCITE
Comments,chalcocite is seen as infill and blebs
Lith_Desc,"chalcocite, pyrite"
COMMENT,Chalcocite > pyrite
Lith_Desc,Chalcocite pyrite zone
Lith_Desc,"chalcocite,tetrahedrite,py"
COMMENTS,chalcopyrite
COMMENT,Chalcopyrite
COMMENTS,CHALCOPYRITE
COMMENTS,CHALCOPYRITE ALTERATION
Comments,Chalcopyrite as v.fine veinlets
COMMENT,chalcopyrite + chalcocite
COMMENT,CHALCOPYRITE + CHALCOCITE
Comments,Chalcopyrite in qtz vein
COMMENTS,CHALCOPYRITE PRESENT
Lith_Desc,"Chalcopyrite, pyrite altered metabasalt"
Lith_Desc,chalcopyrite pyrite rich altered metabas
COMMENTS,CHALCOPYRITE/PYRITE. *TEST FOR AU
COMMENTS,chalcopyrites
COMMENTS,"""chalcopyrites,BIF mixed water"""
COMMENTS,CHALCOPYRITE. *TEST FOR AU
Lith_Desc,Chalcopyrite vein
COMMENTS,"""chalcopyrits, mafic with BIF mixed with water"""
Lith_Desc,chalcosite
Lith_Desc,"chalcosite , sulphides"
COMMENTS,CHALK
comments,chalky grey clay
Comments,CH also abundant.  A intensly altered band in MGB.
comments,ch alt and significant qz to veining at upper contact
Major Desc,ch altd mc volcanic.
Major Desc,ch altd metabasalt.
Lith_Desc,Ch alteration
Comments,CH ALTERED META BASALT
comments,ch altered volcaniclatics dominant
COMMENTS,ch alters bi!!!
COMMENTS,CH ALTN STILL EVIDENT AND INCREASING WITH DEPTH.
PRIM_DESCP,chamMsc
Major Desc,"""ch and si altd bv ch posy aft bt, """
Comments,Changed damp mass from 1067 to 1867
Comments,Changed damp mass from 1262 to 1762
Comments,Changed dry mass from 1289 to 2089
Comment,Changed ori from BOH to TOH
Comment,CHANGE IN ALT FROM ABOVE
Comments,change in grain size; silicified siltstone weak bedding; Tectonic?
Comments,change in rock type to a more mafic (less siliceous) rock with almost volcanic looking felsic phenos ( mafic ztals alt to ka?)
Comments,change into banded iron
Comments,change into Sif
Comment,Change in weathering (increase) and texture - may be a pocket of tonalte
Comments,change lithology?
Comments,"change, lots hard chips"
Comments,change to a coarser still very mafic unit
Comments,Change to a sequence of more mafic material. Interbedded amphibolites/tuffs?
comments,change todarker green clay coating
Comments,change to Fg high-Mg basalt
Lith_Desc,change to highly altered chloritic biotitic rock.
Comments,change to IVT(?) or more crystalised basalt; increasing cl/q/ca alteration
Comments,change to NQ size core; less fractured basalt
Comments,channel bed pebbly horizon
COMMENTS,Channel clays
COMMENTS,Channel clays + gravels
COMMENTS,Channel gravel
COMMENTS,Channel sand
COMMENTS,Channel sand +/- gravel
COMMENTS,Channel sands
Comment,Characteristic FTO speckling lost
comments,ch as replacement of bladed am cristals in aphanitic qz+fd groundmass
comments,ch as replacement of large bladed am cristals in aphanitic qz+fd groundmass
Comments,ch bands beginning again
Comments,"""CH bands replaced by Fe-ox, Fe-ox replaced by Fe-OH, <2%CH bands remaining, poor RQD core"""
Description,CH bands/silcrete fragments within FE-rich lateritic colluvium
Comments,CH bands with Fe-silicate present
Comment,CH BEDS PART REPLACED
COMMENTS,ch bi alt in fo. tc tr schist w/ wk po fs = Abmsc
Lith_Desc,ch+biflakes in feldspar gm
COMMENTS,CH/BI/TA schist
Comments,CH-breccia supported within CY matrix
Comments,CH-breccia within Fe-enriched duricrust
Major Desc,ch bt altd metabasalt.
Comments,CH/BT SCHIST
comments,"""ch-cb-tc-serp mineralogy, magnetic"""
Major Desc,chc fmg mafic after likely dolerite. wkdoleritic txt just discernable. wk carbonate altn. 
Description,"""CH-CL rich interval, mod.-str. Mag."""
Major Desc,chc my to lly syf fg unit after metabasalt most likelly tholeiitic. occ highly deformed recrystallized q vng accounting for less than 2-3% of rock by volume. trace to lly 1% su dominantly py although some po observed. posible pillows observed although ver
Major Desc,chc my to lly syf fg unit after metabasalt. occ highly deformed recrystallized q vng accounting for less than 1-2% of rock by volume. trace to lly 1% su dominantly py although some po observed. posible pillows observed although very dodgy. cn ch and ca an
Desc14,chd
Desc21,CHD
COMMENTS,CHD CHIPS IN SILICA POWDER - GCHD GROUND TO POWDER BY BLADE BIT?
description,CH DOMINANT SCHIST WITH MINOR WHITE RSP.
Comments,"""CH-dominant, subordinate BIF"""
Comment,"""CHD QZ, ASBESTOS VN->FRAC FILL-CRYSOTILE. MGS, MAS VN? ALSO."""
Comments,"CHD QZ, ASBESTOS VN->FRAC FILL-CRYSOTILE. MGS, MAS VN? ALSO."
Comments,CHECK CARBONATE ? UTR?
Comments,Checked Logs - data as recorded
Comment,check log for thr001.
Comment,(check orientation used- appears too low)
Comments,CHECK THIS?
Comments,CHECK THIS UNSURE PROBABLE ULTRAMAFIC
Comments,CHECK THIS UNSURE PROBABLE UUN ? WEATHERED FLUID PATHWAY
Comments,CHECK WBD > BD
Comment,check with b.d
Lith_Desc,Cheese gos
Comment,Cheif? maybe silicified
Comments,"chelcedonic bands, c"
Comment,CHELCEDONIC LIKE WHITE SILICA
Comments,"CHEMICAL EXHALATIVE SEDIMENT  , fine gr, fol,strongly. Bi alt@ 30% intensity 4. Cl @15% intensity 3. Co @ 2% intensity 2 Sulfides- py @ 5%, Po @4%, Cu @ 0.2%, Cp @ 1%, 1%sph.  Minor qtz veins from 2mm- 5cm. Cord at 424-426,427-430m  TS426.8m"
Lith_Desc,cherry red-gy bk hematitic
Comments,chert
Comments,chert  
Comments,chert   
Lith_Desc,Chert
Lith_Desc,Chert?
Comments,CHERT
COMMENTS,CHERT?
Comments,chert 10 %
Comments,CHERT 10 %
Comments,CHERT 10%
Comments,chert 100 %
Comments,CHERT 100 %
Comments,CHERT 100%
Comments,chert 10 %weakly limonite
Comments,chert 20 %
Comments,chert 20 % numerous schist chips
Comments,chert 30 %
Comments,chert 40 %
Comments,chert 5 %
Comments,chert 50 %
Comments,CHERT 50%
Comments,chert 50 % ass % 50
Comments,chert 50 % ass 50 %
Comments,chert 50 % strong limonite
Comments,chert 70 %
Comments,chert 80 %
LITH COMMENT,"""chert, amber"""
LITH COMMENT,chert amber + 10% talc
LITH COMMENT,"""chert, amber + 30% talc"""
LITH COMMENT,chert amber + bright brown
LITH COMMENT,"""chert amber + bright brown+ cly, soft"""
LITH COMMENT,chert amber+bright brown+wea tlc vein
LITH COMMENT,chert amber + talc traces
Comments,"""Chert-amphibolite banded, compositionally different, magnetite preferentially located towards margins """
Comments,chert and cherty BIF
Comments,chert and clay
comments,"chert and clay, possably transported"
Comments,chert/ and clays
Comments,chert and cly
Comments,chert and interbedded kaoloninite clay
Comments,chert and ironstone chips
Comment_2,chert and ironstone fragments
Comments,"""Chert and magnetite, minor cummingtonite"""
Comments,CHERT AND QUARTZ RICH WITH UP TO 5 PERCENT PYRITE.
Comments,chert and shale chips
Comments,chert and shale interbeds
Comments,Chert and talc schist
Comments,CHERT AND TRACE GREEN HUED SHALE
Comments,chert and varicolored shales
Comments,"chert and varicolored shales , shales>>chert"
Comments,chert as above
Comments,Chert band
Lith_Desc,Chert banded
Comments,chert & banded iron formaion
Comments,CHERT BANDED SCP
Comments,CHERT BANDED SEDIMENTS
Comments,chert band (Fv)
Comments,"""Chert banding increasing, small chlorite content, occasional jointing, banding sub parallel with core axis"""
Comments,"""Chert banding more present within banded magnetite and silcates, still some defamtion, microfolding and boudining"""
Comments,"""Chert banding slightly pink tinged, occasionalquartz veins/veinlets, banding sub parallel with core axis"""
Comments,"""Chert banding starting to grade into the magnetite silica bands, pyrite stringer at 178.90m, occasional patches of quartzite"""
Comments,chert bands
Comments,"""Chert bands becoming more common within banded magnetite and silcates, banding sub-parallel to core axis"""
Comments,chert bands/mnt
Comments,Chert bands more distinct some jasperoidal bands with carbonate replacement. Banding folded down core axis magnetite bands finely laminated up to 70mm. Patches of massive magnetite with fine disrupted bedding up to 3m wide but generally 1m wide. Interval 
Comments,chert bands with thin fg seds
Comments,chert+basalt
COMMENTS,chert+basalt-intercalated
Comments,"""Chert becoming more dominant within the banding, also some minor patches of coaurse grained pyrite """
Comments,"""Chert becoming quite jasperoidal, coarse grained magnetite with associated carbonate within the bands"""
Comments,"""Chert: bedded, gritty, recrystallised"""
COMMENTS,chert/bif
COMMENTS,chert/Bif
Comments,chert/BIF
COMMENTS,chert/bif horizon
COMMENTS,chert+bif units+minor vqz
Comment,"""Chert breccia, dk grey"""
Comments,CHERT BROWN
Comments,chert + cherty BIF minor clay
COMMENTS,CHERT & CHERTY IR
Comments,"chert, cherty seds, trace fresh pyrite"
Comments,chert clast interbedded
Comments,chert clasts
Comment,CHERT CLASTS TO 1CM
COMMENTS,chert/clays
comments,"""chert content greater than interval above, some ngreenschist alteration coating? of chert; some arsenopyrite present? trace amounts"""
Comments,chert dom BIF
Comments,chert dominant
Comments,chert-dominant
Comments,chert dominant sediment
Comments,"""chert dominant, sediment poss minor BIF"""
Comments,Chert dominant zone of BIF
Comments,"""Chert dominant zone of BIF, good defined bands 40 to CA, magnetite starting to appear as very rich black bands up to 5mm thick with some mafic bands with accicular grunerite up to 80mm thick diffuse boundaries """
Comments,Chert dominant zone of BIF rare 2cm thick mafic bands with grunerite
Comments,"""Chert dominated, only weakly magnetic"""
Comments,"""Chert dominated zone with some secondary alteration, grunerite?, minor magnetite and some carbonate"""
Comments,chert eoh
Lith_Desc,"Chert?, Felsic?"
Comments,chert + felsic clasts
Comments,chert/felsic rock 
Comments,chert/felsics like Nth pit
COMMENTS,chert+felsic volcanics
COMMENTS,chert+felsic volcs
COMMENTS,CHERT & FERRUGINOUS CHERT
Comments,"""chert, fe staining"""
Comments,chert fragments
Comments,chert free BIF
Comments,"""Chert: hard, siliceous, limonitic, bedded"""
Comments,cherth BIF with 3-5% pyrite
Comments,chert? highly silicified sed?
Comments,chert horizon
COMMENTS,chert in BIF
Comments,chert interbedded with minor hematite
Comments,chert interlayered with silts
Comments,chert intermittent siltstone
Comment_2,chert & ironstone formation
comments,chert is banded
Comments,CHERT IS MISSING
Comment,chert-jasper layers
Comments,CHERT JASPERLITIC
Description,Chert laterite/oxidised clay
Description,Chert laterite / scree
Comments,Chert layers and magnetic BIF
comments,"""chert light and dark, some hint of banding present"""
Description,Chert light-medium grey
Comment,Chert limonitic
Comments,"""Chert: limonitic, bedded, non magnetic"""
Comments,chert/mafic
Lith_Desc,Chert? mafic?
COMMENTS,chert/mafics contact
COMMENTS,chert/mafics? contact
Comments,CHERT MAGNETIC
Comments,Chert / Magnetite BIF - fractured
Comments,chert / magnetite rich beds
Lith_Desc,Chert.may be fg felsic intrusives
Comments,chert+minor pyrite
Comments,chert minor white cly
COMMENTS,chert+mior clays
comments,Chert moderately magnetic
Comments,chert nodules in brown cy
Comments,"""chert, no magnetic chips"""
Lith_Desc,"Chert, not banded"
Comments,chert only
Comments,"""chert, opaque gray & pink"""
Comments,chert or banded qtz in ma
Description,Chert or oxidised BIF
Description,"""Chert or oxidised BIF, Transition to a more BIF like facies"""
