0,1
Comment_2,clayey mottled sap
Comments,clayey olivine textures
Comment_2,clayey oxidised mafic sap
Comment,Clayey pale brown saprolite
Comments,Clayey pallid saprolite
Comments,"clayey, pisolite-nodular duricrust"
Comment_2,"""clayey pisolite-rich, mottled"""
Comments,"clayey pisolite-rich, mottled"
Comment_2,clayey pisolite rich pebbles
Comment_2,clayey pisolite-rich poorly sorted
Comments,clayey pisolites
Comment_2,clayey pisolites N?
Comments,Clayey pisolitic gravel
Comments,Clayey pisolitic sand
Comment_2,"""clayey, porphyritic"""
Comments,"clayey, porphyritic"
Comment_2,"""clayey, porphyritic, massive, mica"""
Comments,"clayey, porphyritic, massive, mica"
Comment,"""Clayey, powdery sap with minor LFs"""
Comments,Clayey puggy
Lith_Desc,"clayey,qtz"
Lith_Desc,"clayey,+qtz,fe-ox"
Lith_Desc,Clayey qtz gravel
Comments,clayey qtz sand
COMMENTS,"Clayey quartz sands, goethite-kaolinite"
Comment,clayey residual sap
Comments,"Clayey sample, injected water to clear hole as very rare milky  Qz/carbonate veining, hole stopped 47m due to poor return wet samples and slow progress"
Comments,Clayey sand
Comments,Clayey sand as above
Lith_Desc,"clayey sand deposit,granitic"
Comments,Clayey sand in stiff puggy clay stone
Comments,Clayey sand (moist)
Comments,clayey sand pisolites
Comments,Clayey sands
Comments,Clayey sands+/- ferruginous gravel
Lith_Desc,Clayey sandstone
Comments,Clayey sand Tertiary - moist
Comments,Clayey sand - wet
Comment,"""Clayey, sandy"""
Comments,clayey sandy calcrete
Comments,clayey sandy minor calcrete
Comment_2,clayey sandy pisolites
Comments,clayey sap
Comment,Clayey sap.
Comment,Clayey Sap
Comment_2,"""clayey sap chips, slightly indurated"""
Comment_2,clayey sap clays
Comments,"clayey sap clays, weakly foliated"
Comment_2,clayey sap + dendritic silica cap
Comments,"clayey sap + dendritic silica cap,material-umf?"
Comment_2,clayey sap + ferrug indurated sap chips
Comment_2,clayey sap + ferruginous sap chips
Comments,"clayey sap, few chips"
Comments,"clayey sap, few foliated sap chips"
Comments,"""clayey sap, hematite"""
Comments,"""clayey sap, leached"""
Comment_2,"""clayey sap, lillte smectite"""
Comments,"clayey sap, mafic"
Comment,clayey sap + mefic rock
Comment,clayey sap + minor schist
Comment_2,clayey saprock
Comments,"clayey saprock, mafic"
Comment,clayey saprolite
Comments,Clayey saprolite
COMMENTS,Clayey saprolite ex porph
COMMENTS,Clayey saprolite +/- laterite nodules
Comment,Clayey saprolite + qtz (slight;y overrepresented by sieving)
Comments,Clayey saprolite - tan
Lith_Desc,clayey saprolite w} fabric
Comment,Clayey saprolite with a minor coherent fraction
Comments,Clayey saprolite with minor Ach bands preserved
Lith_Desc,Clayey saprolitic mafic
Comment,clayey sap schist
Comment,clayey sap + siliceous mafic
Comments,"""clayey sap, sl. hem alteration"""
Comments,clayey sap + smoky qz
Comments,"""clayey sap, some feox"""
Comments,clayey sap + weak ironstone
Comments,"clayey sap, weakly foliated"
Comment_2,clayey sap with few ferrug sap chips
Comment_2,"""clayey sap with few talc-cl um-schist chips, weak ferrug chips"""
Comment_2,clayey sap with few umsh chips
Comment_2,clayey sap with minor ferruginous sap chips
Comment_2,clayey sap? with minor ferrug ironstone pisolites
Comment,Clayey sap w. minor mafic LFs and Qtz
Comment,Clayey sap. W minor Qtz
Comment,Clayey sap w. visible Tonalitic Lithic fragments
Comments,+/- clayey schist
Comment,clayey schist
Comments,Clayey schist
Lith_Desc,clayey seds.
Comments,clayey seds (weathered/altered)
Comments,clayey shale
Comments,clayey shale sap
Comments,"""clayey shale sap, grey smoky transluscent qz"""
Comments,"""clayey shale, trace qz"""
Comments,CLAYEY SHD BSLT MIN FEST & FEOX
Comments,CLAYEY SHD SOX BSLT
Comments,CLAYEY SHD SOX BSLT MIN FEOX
Comments,CLAYEY SHD SOX BSLT? MIN FEOX
Comments,CLAYEY SHD SOX BSLT? MIN FEOX &Q
Comments,CLAYEY SHD SOX BSLT? MIN FEST
Comments,CLAYEY SHD SOX UM/BS? MIN FE & Q
Comments,CLAYEY SHD SOX UMFC MIN FEOX
Comments,CLAYEY SHD SOX UMFC? MIN FEOX
Comments,CLAYEY SHD SOX UMFC MIN FEST
comments,clayey shear zone.
Lith_Desc,Clayey / siliceous
Comments,CLAYEY SILT
Comments,CLAYEY SL MZ
Comments,CLAYEY SML MAG PISO
Comment_2,clayey soil cover
Comment_2,clayey soil developed on outcropping hill
Comment,"""CLAYEY SPLT, MNR LIM, WEATHERED DLT"""
Comments,"""Clayey, sticky"""
Comment,"""CLAYEY, STONE BANDS INCREASING TOWARDS BASE OF UNIT, PYRITE BLEB MIDDLE OF UNIT"""
Comment_2,clayey ta-cl sachist sap
Comment_2,"""clayey ta-cl umf rock, still mostly sap"""
Comments,"""clayey talc sap, few foliated schist chips"""
Comment_2,clayey talcy su-ta-cl schist poss serp
Comments,Clayey Tertiary sand
Comments,Clayey Tertiary sands
Comment_2,clayey to ferrug sap
Comments,clayey to soapy umsh saprock
Comments,Clayey to very clayey sand + grey stiff clay
Comment,Clayey transp. Material
Comments,Clayey ultramafic
COMMENTS,Clayey ultramafic? Saprolite
Comments,clayey ultramafic [?] schist
Comment_2,clayey umf sap
Comments,clayey umf schist
Comment,clayey umsh
Comments,"""clayey umsh chips, foliated, waxy"""
Comment,clayey upper zone grading to generally more competent strongly weath ?dacite; gen recognisable as a dacite  (fs) below 26m
Comments,clayey veins
Comment_2,"""clayey, vw, fg, hematitic Ssl"""
Comments,"clayey, vw, fg, hematitic Ssl"
Comment_2,"""clayey, vw Sh/Ssl"""
Comments,"clayey, vw Sh/Ssl"
Lith_Desc,clayey water
Lith_Desc,clayey water + cg.qz
Comment,"""Clayey, weakly consolidated sand"""
Comments,clayey; weath
Comment,clayey well weathered orange brown dolerite
Comments,Clayey wet sand - high water flow
Lith_Desc,Clayey white saprolite
Comments,Clayey with qtz fragments
Comments,clayey wthd mafic and milky qtz
Comments,clayey & yellow
Comments,Clayey zone possible fault
Comments,clayey zone & qtz
Comments,"Clay, Fe"
Comments,"Clay, fe alteration"
Comments,CLAY FEIND FRAGS
Lith_Desc,clay& felsic porph
Comments,"Clay, Fe quartz"
Lith_Desc,clay+ferr.schistose saprolite
Comments,"Clay, ferruginous qtz minor"
Comments,clay + ferrug ironstone
Comment,Clay + Fe schist
Comments,"clay, few clay chips"
description,CLAY + FEW LATERITE PISOLITES.
Comments,"clay, few sed chips"
Comment,"""CLAY FILL, BROKEN CORE"""
Comments,clay filled
Comments,clay fill in joints
Lith_Desc,Clay - fine powder
description,CLAY + FOLIATED FABRIC
description,CLAY + FOLIATED TEXTURES.
Lith_Desc,Clay for 70cms
Comment_2,clay forms chunks which look like dog s..t
Comment_2,clay forms hard lumps in a sticky ground mass
Comment_2,clay forms slabs/slivers (much like dog s..t)
Comment_2,clay forms slabs/slivers (much like dog s..t).  Some basalt frag's
Comments,clay fractures
Lith_Desc,clay fragments
Lith_Desc,Clay + fresh Mb + nontronite
Comments,"clay, friable, trace HW chips"
Comments,clay from sediment or mafic?
Comments,CLAY GG WITH FE STAINING THRU OUT (TRANS)
Comments,clay / goethite
Comments,clay> gravel
Comments,clay gritty
Comments,clay + hard calcrete
Comment_2,"""clay, hard calcrete, pebbles"""
Comments,"clay, hard calcrete, pebbles"
Comments,clay + hard massive calcrete
Comments,"Clay, hematite"
Comments,"Clay, hematite alteration"
Comments,Clay hematite altered
Comments,"Clay, hematite altered"
Comments,"Clay, hematite altered, contains pisotitic fragments"
Comments,"Clay, hematite altered, minor BIF"
Comments,"clay, hematite altered, minor ironstone"
Comments,"Clay, Hematite altered, minor qtz"
Comments,clay hematite altered saprock
Comments,"Clay, hematite atleration"
Comments,"clay, hematite atltered, pisolitic ironstone"
Comments,Clay hematitic
Comments,"clay, highly oxidized"
Comments,"clay, highly oxidized, ironstone, 28-36m damp"
Comments,CLAY + HM ALTER. +MINOR SAPROLITIC AMPHIBOLE CHLORITE
Comment,CLAY IN ABUNDANT FRACTURES
Comments,clay in bnd bif
Comment_2,CLAY + INDURATED FE ALTD CHIPS.
Comments,"""Clay +/- indurated; globally well indurated, more indurated from 12.2 to 12.9m; clay from schist, fabric often visible, a few orange zones parallel to foliation indicating Py? (16.9 to 17.4m); foliation 40 CA; occasional mm Qz-Cb veins 40 CA opp to foliation"""
Comments,clay interbed
Comments,Clay interval
Comments,"Clay, ironstone"
Comments,CLAY & IRON STONE
Comments,"clay, ironstone, minor qtz"
Comments,"clay, ironstone, minor qtz. 11-20m red/yellow, 20-37m red-highly oxidised"
Lith_Desc,Clay is bright green/blue
Lith_Desc,Clay is either Wx St or Wx
Comments,Clayish
Comments,CLAYISH IRON GRAVELS
Comment_2,clay is mottled red-grey
Comments,CLAY IS YELLOW
Comments,"clay, just quartz vein chips"
Lith_Desc,Clay=kaf
Comments,"""Clay, kaolinite, friable; fabrice generally visible = foliation from schist; sometimes, foliation marked by red-orange staining indicating Py? (64.8m)"""
Comments,"""Clay, kaolinite, friable; foliation from schist generally visible; sometimes foliation marked by red-orange staining indicating Py? (38.5 to 39.5m; 40 to 40.5m; 45.1m); foliation at 40 CA; a few rare more indurated zones; BAD RECOVERY"""
Lith_Desc,Clay & large pisolites
Lith_Desc,Clay & large yellow brown pisolites
Comments,"Clay, laterite"
Comments,CLAY LAYERED RED/WHITE IN GREEN BAG
Lith_Desc,clayleached
Lith_Desc,clay leached
ALTN_COMMENTS,"'clay' - light brown, weathered to clay, pervasive and along planes of weakness"
Comments,Clay like + Qtz
Comments,clay/limonite
Comment,Clay limonitic
Description,Clay/loams/vein quartz lags
Comment,"""CLAY, LSCA AND IR"""
Comments,"CLAY, LSCA AND IR"
Lith_Desc,"clay,mafic and ox chert"
Comments,"Clay, mafic (Basalt?)"
Comments,clay mafic schist fragments increasing with depth
Lith_Desc,CLAY MAGN
Comments,Clay Magnetic  Pisoliths
Comments,CLAY MATRIX
Comments,CLAY MATRIX 21-22M
Comments,CLAY MATRIX 29-31M
Comment,"""CLAY MATRIX, COMMON LARGE QUARTZ GRAINS"""
Description,"""Clay matrix enclosing 5% lithic nodules, consolidated"""
Comments,CLAY MATRIX FROM 31-37
Comment,"""CLAY MATRIX, LARGE PYRITE BLEB AT 39.20m"""
Comment,"""CLAY MATRIX, MICACEOUS"""
Comment,"""CLAY MATRIX, MICACEOUS, COMMON MST BANDS INCREASING TOWARDS BASE OF UNIT"""
Comment,"""CLAY MATRIX, OCCASIONAL CARBONACEOUS STRINGERS, COMMON MST BANDS"""
Comment,"""CLAY MATRIX, QUARTZ GRAINS"""
Comments,CLAY + MEDIUM GRAINED TEXTURES PRESERVED
Comments,clay mgh pisos
description,CLAY + MGN TEXTURES.
Lith_Desc,clay-mica+/- py
Comments,CLAY MIN AGF FRAGS
Description,clay min calcrete
Comments,clay minerals
Comment,CLAY MINERALS IN BROKEN SECTIONS
Comments,CLAY MIN FESTN MAG PISO
Comments,CLAY MIN FRAGS
Comments,"Clay, minor BIF"
Comment_2,CLAY + MINOR BR
Comment_2,"""clay, minor calcrete"""
Comments,clay minor calcrete
Comments,"clay, minor calcrete"
Comments,"clay, minor chips"
Comments,"Clay, minor Fe Qtz (brown)"
Comments,"Clay, minor Fe Qtz (brown), damp"
Comments,"Clay, minor Fe Qtz (brown) - wet"
Comments,"Clay, minor Fe Qtz (yellow), damp"
Lith_Desc,clay & minor ferr sand contam'
description,CLAY + MINOR FOLIATED TEXTURES.
Lith_Desc,clay minor frags oxidised schi
Comment_2,CLAY + MINOR INDURATED/RSP.
description,CLAY + MINOR INDURATED XSI.
Comments,Clay minor ironstone
Comments,"Clay, minor ironstone"
Comments,"Clay, minor ironstone, qtz. 17-32 highly oxidised"
Comment_2,CLAY + MINOR LAMINATED RSP.-SSH
Lith_Desc,Clay & minor Lff
Description_1,"""clay, minor limonite"""
Lith_Desc,clay & minor lp
Comments,clay minor qtz frag
Comments,clay + minor qtz sand + calcrete pods
Comments,"Clay, minor qtz - white clay"
Comments,"Clay, minor qtz - yellow"
Lith_Desc,clay minor qz
Comment_2,CLAY + MINOR QZ VEINING.
Comment_2,CLAY + MINOR RSP.
Comments,CLAY + MINOR RSP-SSH
description,CLAY + MINOR RSP WITH FINE MICAS.
Comments,CLAY + MINOR SAPROLITE
Comments,CLAY + MINOR SAPROLITE.
Comment_2,CLAY + MINOR SAPROLITIC SH.
Comment_2,CLAY + MINOR SAPROLITIC SSH.
Comment_2,CLAY + MINOR SCI/SIF.
Comments,Clay: minor sed chips
description,CLAY + MINOR SI INDURATION.
Comment_2,CLAY + MINOR SILCRETE.
Comment_2,"""clay, minor silt-sand"""
Comments,"clay, minor silt-sand"
Comments,CLAY MINOR SIS
description,CLAY + MINOR SOFT RSP.
Lith_Desc,clay minor Um contam'v.wet.
description,CLAY + MINOR XLP - DAMP FROM 27m.
Comments,clay mixed lithic pebbles
comments,Clay most abundant at 196 to 197.
Lith_Desc,Clay mostly with little Qtz & rare mica
Comment,clay mo with mn semi per silica altn.
PRIM_DESCP,CLAY/MTLLED SAP
Lith_Desc,Clay & muscovite/qtz
Comments,CLAY NEAR LOWER CONTACT
Comments,"""clay, no chips"""
Comments,"clay , no chips"
Comments,clay no chips
Comments,"clay, no chips"
Comments,"clay, no chips,"
Comments,"""Clay, no chips"""
Comments,"CLAY, NO CHIPS"
Comments,"clay, no chips, granular"
Comments,Clay: no chips remnant texture evident
Comments,clay nodules
Comments,"clay, no hard chips"
Comments,"clay, no hips"
Comments,clay_no sand
Comments,"clay, no talc"
Comments,"clay, no talc or chips"
Comments,clay now puggy
COMMENTS,clay on joints
Comments,clay only
LITH COMMENT,"""clay, orange"""
Comments,Clay - orange
Lith_Desc,"clay-ox,d granite?"
Comments,Clay oxidised
Comments,"Clay, oxidised"
Comments,"Clay, oxidised, epidote altered"
Comments,"Clay, oxidised, Ironstone"
Comments,"clay, oxidised ironstone - yellow/brown"
Comments,"Clay, oxidised, minor qtz"
Lith_Desc,"clay oxidised,mottled br,gy"
Comments,Clay oxidised pallid zone
Comments,"Clay oxidised, Qtz minor"
Description,Clay-oxidised saprolite
Comments,Clay oxidised shales cemented bedrock
Comments,clay patch
Comment_2,"""clay, pebbles, calcrete"""
Comments,clay pebbles calcrete
Comments,"clay, pebbles, calcrete"
Comment_2,clay pebbles ferruginous
Comment_2,"""clay, pebbles, hard calcrete"""
Comments,clay pebbles hard calcrete
Comments,"clay, pebbles, hard calcrete"
Comment_2,"""clay, pebbles, pisolite"""
Comments,"clay, pebbles, pisolite"
Comment_2,"""clay, pebbles, pisolites + minor scl"""
Comments,clay pebbles pisolites minor scl
Comments,"clay, pebbles, pisolites + minor scl"
Comments,"clay, pebbles, pisolites, W?"
Comments,clay pebbles sand
Comment_2,"""clay, pebbles, sand, calcrete"""
Comments,"clay, pebbles, sand, calcrete"
Comment_2,"""clay, pebbles, sand, Nc?"""
Comments,"clay, pebbles, sand, Nc?"
Comments,clay pebbly calcrete
comments,Clay percentage varies over interval and large detrital clasts of transported gravel can be found amongst the clay matrix.
Comments,clay pieces disaggregate in water
Comment_2,clay pisiolites minor calcrete
Comment_2,clay pisolite-rich
Comments,clay pisolites
Lith_Desc,Clay & pisolites
Comments,"clay, pisolites, calcrete"
Comments,clay pisolites-hard calcrete
Comment_2,clay pisolites + lithic pebbles
Comment_2,clay pisolites minor calcrete
Comments,clay pisolites minor pebbles
Comments,clay pisolites minor scl
Comment_2,clay pisolites minor Sil/calcrete
Comment_2,"""clay, pisolites, pebbles, minor scl"""
Comment_2,clay pisolites pebbles minor scl
Comments,"clay, pisolites, pebbles, minor scl"
Comments,clay pisolites sand calcrete
Comments,"clay pisolites, sand, calcrete"
description,CLAY + PISOLITES + XIR.
Comments,clay pisoliths
Comments,"Clay, pisolitic, hematite altered, ironstone"
Comments,"Clay, pisolitic ironstone, 30 - 40m hematite altered"
Lith_Desc,Clay+pisol. + Mb chips
Comments,CLAY PLUS ABOVE
Comments,CLAY PLUS SAP (MASSIVE)
Comments,clay possible structural influ
Comments,clay powder and clay chip mix
Comments,"clay powder and clay chip mix, GREENISH TINGE"
Comments,clay powder with few magnetic chips
Comments,"clay, powdery"
Comments,"""Clay: powdery , rusty, no chips"""
comments,clay predominant with chips of ferruginous rocks
Comments,"""Clay: puffy, no chips"""
Comments,"""clay; puggy, trace laterite chips"""
Comments,clay-py fractures
Comments,"""clay-py fractures 62.5,66.25,66.85,67.43"""
Comments,clay-py fractures to 90.45
Comments,clay + qtz
Lith_Desc,"clay,qtz"
Comments,clay+qtz sand + minor pisoliths
Comments,"""Clay, Quartz vein"""
Comments,"""Clay, quite friable; BAD RECOVERY"""
Lith_Desc,Clay qz chips
Lith_Desc,"clay,qz & shale"
description,CLAY + QZ VEINING.
Lith_Desc,clay qz zone wet
Comments,CLAY RED
Comments,"Clay, red/cream, damp"
LITH COMMENT,clay red-pink
Comment,Clay replacement
Comment_2,clay residual sap
comments,"""clay returns mostly, very few chips"""
Comments,clay rich
Comments,clay-rich
Comments,CLAY RICH
Comments,CLAY RICH.
Comments,Clay rich alteration zone - abrupt contact between Sif above and intrusive microgranite beneath
Lith_Desc,clay rich and al'd Mb
Comments,Clay rich basal pisolitic detrital.
Comments,clay rich base of CID
Comments,clay rich base of CID profile
Comments,clay rich calcrete
Comments,Clay rich CID. Fe pisolites
Comments,clay rich CID- Fe-rich pisolites
Comment,"""clay-rich, crumbly str weath dac; poss some v cs fs (weathered)"""
Comment_2,"""clay-rich,ferruginous pods,weak duricrust?"""
Comments,"clay-rich,ferruginous pods,weak duricrust?"
Comments,"""Clay Rich, Few Chips"""
Comments,clay-rich friable sands
Comments,Clay-rich interval
COMMENTS,Clay rich + iron rich zones
Comments,"clay rich lower saprolite, saprock and running sands, ?sheared mafic protolith"
Comments,"clay rich lower saprolite / saprock, stronglt foliated/sheared chloritic schist / sheared MB"
Comments,"clay rich lower saprolite / saprock, strongly foliated/sheared to brecciated chloritic schist / sheared MB"
Comments,"clay rich lower saprolite / saprock, strongly foliated/sheared to brecciated chloritic +- talc schist / sheared MB"
Comments,"clay rich lower saprolite / saprock, strongly foliated/sheared to brecciated chloritic-talc schist / sheared MB"
Comments,"clay rich lower saprolite, tan brown to green, foliated to sheared with zones of unconsolidated running sand. mafic / ultramafic protolith"
Comments,"clay rich lower saprolite with unconsolidated greenish chloritic sands, and clay rick foliated to sheared saprock, mafic /basalt protoloith"
Comments,CLAY-RICH (low Fe) base of profile
Comments,clay rich matrix
Comments,clay-rich minior Sil/calcrete
Comments,clay-rich minor calcrete
Comments,clay-rich minor pebbles + pisolites
Comments,clay-rich minor pisolites + calcretee
Comments,clay-rich minor pisolites + pebbles
Comment_2,"""clay-rich, minor silt-sand"""
Comments,clay-rich minor silt-sand
Comments,"clay-rich, minor silt-sand"
Comment_2,clay-rich minor silt-sand + pebbles
COMMENTS,Clay rich moderately sorted fine quartz sands
Comments,"clay rich, no chips"
Comments,"clay rich, no hard chips"
Comments,"clay rich, nothing diagnostic"
Comment,Clay rich pebbly SDST with QTZ < 1.5mm and common subang - subrdd FG clay alt peb < 10mm; mnr bands subrdd dacite pebs < 40mm; QTZ pebble band ( vein ? ) at base.
Comments,clay-rich pisolites
Comments,clay rich pisolites <3mm
Comments,"""clay rich, possible weathered shale zone"""
Comments,clay rich puggy
Comments,"clay rich, remnant texture"
Comments,"Clay rich rubbly fault zone, marks transition from felsic to MBR"
Comment_2,"""clay-rich, sandy"""
Comments,clay rich sandy
Comments,clay-rich sandy
Comments,"clay-rich, sandy"
LithDescription,clay rich saprock after u/mafic
comments,clay rich saprolite
Comments,CLAY RICH SAPROLITE.
Comment_2,clay-rich saproltie clays?
comments,clay rich section
Comment_2,"""clay-rich, silt-sand"""
Comments,"clay-rich, silt-sand"
Comment_2,"""clay-rich, silt-sand, minor pisolites"""
Comments,"clay-rich, silt-sand, minor pisolites"
Comment_2,"""clay-rich, silt-sand, pisolites"""
Comments,"clay-rich, silt-sand, pisolites"
Comments,"""clay rich, sticky when wet"""
Comments,"clay rich, vivid lime green"
Lith_Desc,clay rich wet zone
Comments,clay rich with 2;3mm roundish bells of clear mineral
comments,Clay rich zone
Comments,CLAY RICH zone
Comments,clay rich zone - base of profile
Comments,clay rich zone- some fe-rich pisolites
Lith_Desc,clay+rounded qz grains
Comment_2,CLAY + RSP + INDURATED CHIPS.
Comment_2,CLAY + RSP+SSH.
Lith_Desc,clays
Lith_Desc,Clays
Comments,CLAYS
Comments,clays + abundant pisolites + qtz sand
Comments,"""Clays afetr ultramafic, rare fer chips"""
Comments,Clays after amphibolites ??
Description,Clays after weathered vfg felsic volcanic; rhyolite?
Comment,Clays aft qtz ph sdst
Comments,clay sand aggregate with poorly sorted angular grains_increasing clay content with depth
Comment_2,"""clay, sand, calcrete"""
Comments,clay sand calcrete
Comments,"clay, sand, calcrete"
Comment_2,clays and calcrete
Comment_2,"""clay, sand, calcrete, pebbles"""
Comments,"clay, sand, calcrete, pebbles"
Comments,clay + sand (ds)
Comments,clay sand hard sandy calctrete
Comment_2,"""clay, sand, minor calcrete"""
Comments,"clay, sand, minor calcrete"
Comments,clays and minor qtz veining
Comments,Clay sand mix on above grey gritty clay
Comment_2,"""clay, sand, pebbles"""
Comments,"clay, sand, pebbles"
Comment_2,"""clay, sand, pebbles, calcrete"""
Comments,"clay, sand, pebbles, calcrete"
Comment_2,"""clay, sand, pebbles, minor calcrete"""
Comments,"clay, sand, pebbles, minor calcrete"
Comment_2,"""clay, sand, pebbles, minor scl"""
Comments,"clay, sand, pebbles, minor scl"
Comment_2,clay sand pebbles pisolites
Comment_2,"""clay, sand, pisolites"""
Comments,clay sand pisolites
Comments,"clay, sand, pisolites"
Comments,clays and qtz
Comments,clays and quartz
Comments,clays and qz
Comments,clays and resistant silicified
Lith_Desc,clays and sands
Comment_2,"""clay, sand sandy calcrete"""
Comments,"clay, sand sandy calcrete"
Comment_2,"""clay, sand, sandy calcrete, pebbles"""
Comments,"clay, sand, sandy calcrete, pebbles"
Comments,"""CLAYS AND SILCRETE, FE FRAGS"""
Comment_2,"""clay, sand-silt, minor calcrete, pisolites"""
Comments,"clay, sand-silt, minor calcrete, pisolites"
Comments,clay/sandstone
Comment_2,CLAY & SAND WITH SOME IRONSTONE & FRESH MAFIC FRAGS
Comment_2,"""clay, sandy"""
Comments,clay sandy
Comments,"clay, sandy"
Comment_2,"""clay, sandy calcrete, pebbles"""
Comments,"clay, sandy calcrete, pebbles"
Comments,"clay, sandy, calcrete, pisolites"
Comments,clay + sandy hard calcrete
Comment_2,"""clay, sandy, minor calcrete"""
Comment_2,clay sandy minor calcrete
Comments,clay sandyminor calcrete
Comments,"clay, sandy, minor calcrete"
Comment_2,clay sandy minor pisolites
Comment_2,clay sandy minor Scl
Comment_2,clay sandy pebbly
Comments,clay sandy pisolites
Comments,clay sandy pisolites minor scl
Comments,"""clay sandy, red"""
LITH COMMENT,"""clay, sandy, yellowish"""
Comments,clay sap
Comments,clay> saprock
Comments,"Clay, saprock"
Description,clay saprolite
Lith_Desc,clay/saprolite
Description,Clay - saprolite
Comments,Clay - saprolite?
Description,Clay / saprolite
Description,Clay + saprolite
Description,Clay+saprolite
Comments,Clay Saprolite
Comments,CLAY + SAPROLITE
Comments,"""Clay saprolite containing original foliation and fractures, minor WH saprolite intervals, generally poor RQD"""
Comments,clay saprolite contaminated
Comment_2,clay saprolite - fg Mv
comments,clay-?saprolite; indurated
Comments,"""Clay saprolite, original rock texture identifiable, RQD= 0%"""
Comments,clay saprolite - vw mafic
Lith_Desc,Clay - saprolitic Mb?
Comments,clay sap with large vein qtz c
Comments,clays at edge of brecciated zone minor vein qtz
description,CLAY SAUSAGES.
Comments,"""clays """"balling-up"""", low sample return"""
Comments,"clays ""balling-up"", low sample return"
Comments,CLAYS- BEDDING VISIBLE.
Comments,Clays - Calcium Carbs
Lith_Desc,Clays causing drilling problems.
Comments,clays cemented
Lith_Desc,"clays cemented,ws"
Lith_Desc,"clays cemented, (ws)"
COMMENTS,clays+chert bands
description,CLAY + SCHISTOSE SAPROLITE - SERICITIC.
Comments,clays dom
Comments,clays dominant
Comments,clays dominate
Lith_Desc,clays DRY TO 30M
Description,Clay seam; possible fault gouge
Comments,clays_EOH
Comments,"clays, epidote altered"
Comments,Clays epidote altered
Comments,"Clays, epidote altered"
Comments,"Clays, epidote altered, wet sample"
Lith_Desc,CLAY(SER)
description,CLAY +_ SERICITIC RSP
description,CLAY + SERICITIC SAPROLITIC SCHIST?
Comments,CLAYS FELSIC GNEISS
Lith_Desc,Clays - ferrug
