Description,"""10% CH fragments, 5% FE-nodules, consolidated"""
Lith_Desc,10% chrysocolla tr. VG
Lith_Desc,10% chryso. (V.G)
Major Desc,<10% clasts.
Lith_Desc,10% clays
Comment,10CM BX AT LOWER CONTACT
comments,10cm chlorite alteration at lower contact
comments,10cm chlorite-py alteration at lower contact plus increased cb veining.
Comment,10cm DLT @ 284.6m strong Se alt'n at top contact
Lith_Desc,"10cm into granite,mostly Qa."
Comment,"""<10cmm rounded QZPH and FSPH clasts becoming less distinct downhole, blebs of biotite"""
Comment,"""10cm of broken core from 995.3-995.4m, fault?"""
D_stLITHCOMMENTS,10cm of siltstone @ ~112.7m.
Comments,10cm of siltstone @ ~112.7m. 
Comment,10cm POST DLT @ 53.6m WEATERED SULPHIDES IN PITS AND JOINTS
Comment,"""10cm QV @ 607.1m, 30CM QV @ 610.5m, BROKEN CORE 615.3-617m, 30cm FOLIATED SHEAR @ 617.7m"""
Comment,"""10cm QV @ 635.9m FOM 650-660m, CONTINUATION OF DLT FROM 579.7m"""
Comment,10cm QVN at 1161.2m
Comment,10cm QV on contact
Comments,10cm thick series qz/ca/py veins + some cpy
Comments,"""10cm vuggy coarse grained, massive broken qtz"""
Comment,"""10 cm zone of str fol, intense se alt surrounded by wispy clt alt fol dac with much carb vn // fol ankerite? Or lim stain in some larger carb vn."""
Comments,10% coarse muscovite
Lith_Desc,10%contam
Lith_Desc,10% contam
Lith_Desc,10% contam boxworks in Qz
Comment,10% CONTAM GOE FALL IN
Comments,10% contamination
COMMENTS,10% contaminn
Lith_Desc,10% contam sam washes
Lith_Desc,10%contam  sil Mb chips
Lith_Desc,10% contam some Qv contam
Lith_Desc,10% cp
Comments,10% cream qtz vng + fractured
Comments,10% disseminated Pyrite.
Comments,10% diss py + chloritised
Comments,10% diss pyrite
Comments,10% dso
Comments,10% DSO
comments,10% ?ep as veinlets with qtz; py 2-3%
comments,10% ep as veinlets with qtz; py 2-3%; 5% red haematite 97-98m
Lith_Desc,10% fe frags+10% fe qz
Description,10% Fe lag
Comments,10% feldspar (Fpeg)
Comments,10% feldspar-qtz Fpeg
Comments,10% felsic intrusion
COMMENTS,+ 10% felsic intrusive
COMMENTS,10% Fe nod
comments,10% ferruginous chips
Comments,10% FEST
COMMENTS,10% Fe sta
COMMENTS,10% FGR
COMMENTS,+ 10% FI
COMMENTS,+10% FI
Comments,10% Fpeg (qtz-feldspar)
Comments,10% Fpeg (tr muscovite)
COMMENTS,+ 10% FPG
COMMENTS,+10% FPG
Comments,10% frags mod silicified
Comments,10% fr chips
Comments,10% fresh qtz vein/jaspalitic
Lith_Desc,10% Ftuff
Lith_Desc,"10% Ftuff,10% Sx,q"
Comments,10% fuchsite
Comments,10% FUCHSITE
Lith_Desc,10% Go
Lith_Desc,"10% Go,cavity infilling?"
COMMENTS,10% GOSS
Comments,10% grey dusty sulphides
Comments,10% grey sulphide present= arsenopyrite(?)
comments,10% GRT as above; 30% CZ chips (ep + red ?garnet + 3% py); 50% mt
Lith_Desc,>10 g/t Au
Comments,"10%, hard to tell if talcose"
Lith_Desc,10% Hm
Lith_Desc,10% Hm tr Se
Comments,10% iron and silcrete
Lith_Desc,10%ironstone fragments
Lith_Desc,10% Ka
Comments,10% Lamprophyre
Lith_Desc,10% Lfp contam
Lith_Desc,10% Lfp contam Qz vein
Comments,10% light green epidote?
Lith_Desc,10% lim. qz
Comment,10 % lithic frags BIF
Lith_Desc,"10% LsFi,Qac,p contam"
COMMENTS,10% MAA
Lith_Desc,10% mafic fragments
Comments,<10% magnetite
Lith_Desc,10% malachite/azurite
Comments,"""10% massive-MT intervals, 90% Aci_E intervals"""
Lith_Desc,10%Mb
Lith_Desc,10% Mb
Lith_Desc,"10% Mb, tr. oxid. sulfides"
Comments,10m east o/c of csz myl[15m thick]
Lith_Desc,10% metabasalt
Comment,"""10M FROM COLLAR MDO, 5M THICK, THEN BACK TO MKB."""
Comments,10% Mg; tr lm staining; minor zinnwaldite
Comments,10% milky - glassy qtz vng
Comment,10 MINS FOAMING COLLAR
Comment,"""<10mm elong fol // mostly ghost fs, non-ghost fs are wkly ca alt, euh, sometimes in cruciform intrgrwth, assoc wk perv si alt & more abund qzca vns ( non-ghost fs form vn or fract selv in part), 1014.9 & 1019.3-1019.5 3mm ca vn with wk lim stains - ?aqfr"""
Comment,"""10mm FPH, 2-3mm qtz"""
Comment,"""10mm QVN, 20mm crosscutting QBVN"""
Comment,"""10mm SI DAC CLASTS IN CLT MATRIX, STRONGLY SHEARED WITH ASSOC CARB ALT"""
Comments,<10mm smokey qz veins throughout. Fine silica blebs. 
Comment,10m of transported cover.
Comment,10% MT CONTAM
Comment,10%MT CONTAM
Comments,10% MUDDY RETURN WITH TRACE RED SHALE
Comments,"""10% ore zone , 90% barren"""
comments,10% oxidation
comments,10% oxidation of whole rock
Lith_Desc,"10% oxid. sulfides, tr. chrys."
Comments,10% pegmatite
Comments,10 PERCENT DISSE PYRITE.
Comments,10 PERCENT STRONGLY MAGNETITIC SCF WITH UP TO 2 PERCENT DISSEMINATED PYRITE.
Comments,10 PERCENT STRONGLY MAGNETITIC SCF WITH UP TO 2 PERCENT DISSEMINATED PYRITE. 90 PERCENT MBL.
Comment,10% Pis
Comment,10%PIS
Comment,10% PIS
Comment,"""10%PIS, 5% VIT GOE"""
Comment,"""10%PISOL, SMALLER GNS"""
comments,"""10% po, 5% py"""
Comments,"10%, pred light green chert"
Lith_Desc,10%py
comments,10% py
Comments,10% PY
comments,"""10% py, 10% quartz"""
comments,10% py; 5% red haematite; 5% green ep (massive)
Comments,"10% py, chloritised"
Comments,"10% py, granodiorite-diorite, silicified"
comments,10% py +/- po
Comments,10% pyrite
Comments,"""10% pyrite, few non magnetic chips"""
Comments,"""10% pyrite, strongly magnetic"""
Comments,10% pyrrhotite
Lith_Desc,10%py water table @29m
Lith_Desc,10% Qac+Lf contam
Lith_Desc,10% Qa contam
Lith_Desc,"10% Qac,qz contam"
Lith_Desc,10% Qap contam
Lith_Desc,"10% Qap,Qaqz contam"
Lith_Desc,"10%Qap,Qaqz contam"
Lith_Desc,"10% Qaqz,c contam"
Lith_Desc,"10% Qas,c contam"
comments,10% qtz
Lith_Desc,10% Qtz
Comments,10% qtz-amp-pyr vng
Comments,10% qtz as primary mineral
Lith_Desc,10% qtz contam
Lith_Desc,10% Qtz Damp Sample Hammer
Lith_Desc,10% Qtz FeKa
Comments,10% qtz-hem-goe vng
Lith_Desc,10% Qtz some bleached Mb
Comments,>10% qtz veining
Comments,10% qtz veining
comments,10% quartz
Comments,10% quartz biptite
Comments,"""10% quartz veinlets, minor brecciation"""
Comments,10% quartz veinlets (quartz vein 145.8-147.5m) - broken
comments,10% qz
Comment,10% QZ
Lith_Desc,10% qz contam sam washes
Lith_Desc,10% qz veining
Comments,<10% recovery
Comments,10% recovery
Comments,10% recovery after rod change
Comments,"10% recovery, few pale carbonated pieces"
Comments,10% recovery on rod change
Comments,"10% recovery, possible dolerire"
Comments,"10% recovery, stickey clay"
Comments,"10% recovery, wet"
Comments,"10% recovery, wet, flat, sheared, local talc"
comments,10% red haematite
Comments,"10% return, lots flat shale chips"
Comments,"10% return, no talc"
Comments,"10% return, wet, 1-2mm qtz grains"
Comments,"10% return, wet, abundant small qv chips"
Comments,"10% return, wet from here to end of hole"
Comment,10% ROCK CHIP
Lith_Desc,10 rodded qz & Fe frags
Comments,<10% sample return
Comments,10% sample return
Comments,10% SCF
Comments,"10% SCF, 1-2% disseminated Pyrite."
Comments,"10% SCF, minor tourmoline."
Comments,10% SCQ.
comments,10% SCZ  sulphidic BIF fragments
Comment,10% SE ALTERATION
comments,10% shale
comments,~10% shale bands
Comments,10% SIF interbeds
Comments,10% silcrete
Comments,10% silcrete chips
Lith_Desc,10% sil fe frags Sif?
Comments,10% silt.  Hard & friable.
Comments,10% SiO2 porphyroblasts
Lith_Desc,10% sLsMb+liQz contam
Lith_Desc,10% Smokey Qtz
Comment,10%SO
Comment,10% SO
Lith_Desc,10% sulfides
Lith_Desc,"10% sulfides (cc,cp,py) ds"
Lith_Desc,"10% sulfides (ccp,py,chalco)"
Lith_Desc,"10% sulfides (cc,py)"
Lith_Desc,"10%sulfides (cp,py,cc)"
Comment,10% Sulphides
Comments,10% TALC VEINS
Comments,+ 10% TLAT
Comments,10% TLAT
Comments,+10% TLAT.Conv.hammer x/o
Comments,"10% UUN, possible contact"
Lith_Desc,"10% UU, unfoliated"
Comments,10% very fine-grained mica
Comment,10% VIT GOE
Comment,10% vn qtz
Comments,10 % void
Comments,10 % Vz
Comments,"10%, wet"
Lith_Desc,10% wh-gy fldsp py rock
comments,10% white qtz veins; green ?ep; minor po
comments,10% wht qtz veining; py as f grained dissem + veinlets 5%
comments,10% wht qtz veining with green mineral dissem
comments,10% wht qtz veins.
Comments,10% zinnwaldite
Comments,10% zinnwaldite; minor Mn staining
Comments,10% zinnwaldite; tr lm staining
Comment,"""1-100mm siliceous porphyritic ?dac clasts & minor chloritic fsph clasts, minor bands of mg bx clasts often with ca infill, rounded edges on many clasts indicate transport"""
Comments,"110.3-110.5m, Planar cb/py veins, TW's  ~ 2-3cm. "
Comment,"""1-10mm clear variably fractured QE, fg g'mass"""
Comment,"""1-10mm qz in a qz-se g'mass, inc clt alteration downhole, more intense se altered zones"""
Comments,"111.6-111.85m: Roughly planar Cb/pyrite veins, TW's ~ 2-10mm."
Lith_Desc,111 onwards = <1%Quartz
Comments,112.0 - 115.0m Trachyte top of flow shows flow banding 250 alp  75 bet  irregular cemented contact  baked.  Vesicles grow from contact ~3mm to 113.8m depth.  Below become less sparse and 10mm  filled with carbonaceous fill.
Comments,112.0m Top of flow
Comments,112.2-112.5m: fine talc veins.
Comments,112.2-112.5m: fine talc veins. 
Comments,11-28 BLADE
Comments,11-28m - alluvium/transported laterite - three generations of transported material also in MLA041-042) 
Comment,1-12mm locally well pres euhedral feld Ca alt I/p; 1-4mm qtz phenos as before; rare zoned feld; wk fol I/p
Comments,113.4-114m: 'clay' alteration front - see photos
Comments,114-118 qz
Comments,115.0 - 117.4m Flow band on surface 3-5mm vesicles carbonate filled  matrix not carbonaceous
D_stLITHCOMMENTS,115-117.2m: Core loss - not noted by drillers.
Comments,115-117.2m: Core loss - not noted by drillers. 
Comments,115m - Flow base
Comments,1-1.5mm disciele Amphibole in
Comments,116.8m end of pre-collar                          
Comments,117.4 - 117.5m Chert filled horizon - hematite alt.
Comments,117.5 - 118.5m 3-4mm vesicles in trachyte.  Matrix and vesicles very carbonaceous rare hem alt in vesicles.
Comments,"117.6-119.6m: Carbonate, chlorite and pyrite veinlets. "
Comments,"117.6 - 119.6m: Carbonate/chlorite/pyrite veinlets, α <5°"
Comments,118.5 - 120.1m More mafic sparse vesicle bands  chloritic.  Vesicular from 119.7m @ base.
Comments,11cm cbq
Lith_Desc,11m 20%qz
Comment,11m cover
Lith_Desc,11 METRES
Comment,11M OF TRANS. COVER.
COMMENTS,1200M WST OF BRAND MUDGE RD
Comments,120.1 - 120.3m Flow top.  Flow banded dense vesicles  carbonaceous filled vesicles 4 5mm dia.
Comments,12.0 - 12.3m Saprolitic clays from altered microsyenite
Comments,120.1m Flow base
Comments,120.3 - 121.9m Flow top.  Flow banded dense vesicles  chlorite with hematite filled blebs and vesicles.
Comment,"""<120mm fsph si altered clasts, mod-strongly foliated wispy clt/biot altered g'mass, some fractured clasts give a pseudobx appearance, clt as fracture infill, 1008.5 ca/mgt vein assoc with minor shear"""
Comment,"""<120mm subangular FSPH clasts in a FSPH groundmass, f'spar <5mm, minor limonite on fractures, core soft and broken in part"""
D_stLITHCOMMENTS,"121.03-121.13m: healed breccia, boundaries ?45°"
Comments,"""121.03-121.13m: healed breccia, boundaries α45°"""
Comment,121 - 125 K468 DUPLICATE
Lith_Desc,12-13mts=Wk sericite
comments,12-15m Highly weathered gossaneous with abundant qtz--- ORE ZONE
Lith_Desc,12-15m=Tholeite-shear zone?
Comments,121.9 - 122.9m Crystalline carbonaceous vesicle at base
Comments,"""122.7 - 123.4 mod silica alt, also stacked veinlets array , parallel 1-2mm"""
D_stLITHCOMMENTS,122.7m=coreblock. 122.7-124.7m coreblocks: 0.9m core loss. Lithology intervals estimated: 30cm of Qv & 20cm of talc schist.
Comments,122.9 - 124.1m Increasing vesicles upward in interval.  Carbonate fill 3-5mm at top.
Comments,122.9m - Flow base
Comments,"123-126m: frax of quartz/cb/iron oxide, 0-15°"
Comments,12.3 - 12.9m Upper saprolitic rock
Comments,"""123.87 qtz eye, poss edge qtz lens, parallel to core. 1 c.g qtz, 1 f.g-m.g qtz"""
Comments,124.1 - 128.2m Vesicular - trachyte with carbon ate filled vesicles  some hematite filled.  3 - 10mm chloritc flow top with condensed small 'frothy' surface..
Comments,12-41m se smear on fracture planes
D_stLITHCOMMENTS,124.7-126.2m coreblocks: 0.6m(?) core loss.
Comments,124.7-126.2m coreblocks: 0.6m(?) core loss. 
D_stLITHCOMMENTS,124.7m(coreblock)-125.65m(lithology interval): Core loss up to 70cm(?).
Comments,124.7m(coreblock)-125.65m(lithology interval): Core loss up to 70cm(?). 
Comments,125.3m dark green MVB 
Comments,1-25 disseminated pyrite
D_stLITHCOMMENTS,126.2-127.2m coreblocks: 0.7m core loss.
Comments,126.2-127.2m coreblocks: 0.7m core loss. 
D_stLITHCOMMENTS,126.2m=coreblock.
Comments,126.2m=coreblock. 
Comments,126.5m stronger Ac vein assoc.with QzPy dip east
Comment,"""1270.1 peperite in dacite lava, 1270.6 flat felsic clasts polymict breccia, dacite lava with amygdales"""
comments,127-128 VISIBLE GOLD.
Comments,128.2 - 129.6m Trachyte massive 2mm laths.  Carbonaceous matrix.
Comments,12.9 - 15.0m Lower saprolitic rock from altered microsyenite - preserved trachytic texture with upto 5mm feldspathic laths
D_stLITHCOMMENTS,129.2m=coreblock.
Comments,129.2m=coreblock. 
Comments,"""129.52 wk stockworking parallel with cpy, vugs."""
Comments,129.6 - 131.3m Carbonaceous matrix minor 3mm vesicles.
Comment,1/2 CH IS JA FOR ALL BMSC
Comment,1-2CM DARK SUBROUNDED PISOLITHS
Comment,1-2cm felsic clasts; qtz<0.5mm
Comments,"""1-2 cm wide qtz vein, no sulphide at 198.2m and 200.4m"""
Lith_Desc,1-2 combined sample
Comment,1-2% Dark Sulphides
Comments,1-2% disseminated Pyrite.
Comments,1-2% diss fresh pyrite
comments,1-2% fine grained blebby py
comments,1-2% fine grained py
comments,1-2% fine grained py.
comments,1-2% fine py
Comments,1-2% fresh pyrite
Lith_Desc,1-2%l.a.s. str.
Lith_Desc,1-2% lim.microfract.
Lith_Desc,1-2% magnetite-probably a high Mg basalt
comments,1-2m has contamination  of chips from last hole
Comments,1-2mm and less than 5mm grey red-bn MW Hem chips
Comment,"""<1-2mm blue-gy qz and partly Si altered pumice fragments. CCP/Po associated with a Qz/Ca vein, intense clt altered band at lower contact"""
COMMENTS,1-2mm brown pob
Comment,"""1-2mm clt altered flecks after f'spar? <1mm qz, incresed qz-ca veining downhole"""
Comment,"""<12mm elongate foln parallel f'spar, <7mm subrounded qz, foln defined by clt altered groundmass"""
Comments,1-2mm elongate tremolites?
Comment,1-2mm feldspar laths
Comment,1-2mm FPH
Comment,1-2mm frilly qtz
Comment,"""1-2mm frilly qtz, minor DAC and SDBX horizons"""
Comment,"""1-2mm f'spar, qz-ca vein network"""
Comment,"""<12mm ghosted f'spar, elongate foln parallel, wispy foln parallel clt, si selvedge on some minor qzclt filled fractures"""
Comments,1-2mm green black to blue green amphibole spots in magnetic rich layers. Drillers had problems doing orientation readings with this hole. EOH=299.3m
Comment,"""1-2mm IRREGULARLY SHAPED CARB ALT AMYGDALES? SHARP BRECCIATED TOP CONTACT, DIFFUSE BASAL CONTACT"""
