id,cleanup_term,source,definition,exactmatch1,historynote,note,sourcenote,parent1id,parent2id,parent3id
26,armoured_relict_crystal,CompoundMaterialConstituentPartRole_2016,A crystal of an earlier rock that is prevented from further reaction in a later rock by a rim of reaction products,http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/0001,,,base on Neuendorf et al 2005,particulate_constituent,,
27,active_spreading_center,EventEnvironment_2016,Divergent plate margin at which new oceanic crust is being formed,http://resource.geosciml.org/classifier/cgi/eventenvironment/0005,,,this vocabulary,plate_margin_setting,plate_spreading_center,
28,allostratigraphic_unit,GeologicUnitType_2016,"Geologic unit defined by bounding surfaces. Not necessarily stratified. Donovon (2004, IUGS abstract Florence) makes good case for use of a noncommittal term for the bounding surface. While there may be no agreement that a given stratal boundary is a discontinuity, there is consensus that all the identified boundaries are stratal surfaces. Includes: 1. Unconformity bounded units (Salvador 1994), defined by bounding stratigraphic discontinuities ('significant unconformities', unconformity is defined as surface of erosion in Salvador 1994). 2. Sequence stratigraphic unit, an allostratigraphic unit that is used to interpret the depositional origin of sedimentary strata and assumes, though this is not always stated, an implicit connection to base level change. It does this by establishing how the sequence of strata accumulated in order in the sedimentary section over a subdividing framework of surfaces.",http://resource.geosciml.org/classifier/cgi/geologicunittype/0001,,,"This vocabulary, Salvador, 1994, Donovon 2004 IUGS abstract.",geologic_unit,,
29,alunitic_alteration,AlterationType_2016,missing,http://resource.geosciml.org/classifier/cgi/alterationtype/0004,,,this vocabulary,alteration_not_specified,,
30,argillic_alteration,AlterationType_2016,missing,http://resource.geosciml.org/classifier/cgi/alterationtype/0005,,,this vocabulary,alteration_not_specified,,
31,albitic_alteration,AlterationType_2016,missing,http://resource.geosciml.org/classifier/cgi/alterationtype/0002,,,this vocabulary,alteration_not_specified,,
32,alteration-product,EarthResourceMaterialRole_2016,"(a) Any change in the mineralogic composition of a rock brought about by physical or chemical means, esp. by the action of hydrothermal solutions; also, a secondary, i.e. supergene, change in a rock or mineral. (b) Changes in the chemical or mineralogical composition of a rock produced by weathering.",,,,"Glossary of Geology. 5th Edition, AGI - online",top,,
33,as above contains,dh2loop_RelativeLocation,,,,,,,,
34,alteration_unit,GeologicUnitType_2016,Geologic unit defined by alteration process.,http://resource.geosciml.org/classifier/cgi/geologicunittype/0002,,,This vocabulary,geologic_unit,,
35,alteration-halo,EarthResourceExpression_2016,"The Earth resource, concealed or exposed, has an anomalous rock alteration halo.",,,,Australia/New Zealand Government Geoscience Information Committee (GGIC),top,,
36,augen_lineation,LineationType_2016,A shape lineation defined by elongate augen.,,,,this vocabulary,particle_shape_lineation,tectonic_lineation,
37,arch_morphology,GeologicUnitMorphology_2016,"A raised elongate body, morphologically equivalent to upside down channel",,,,This vocabulary,geologic_body,,
38,associated_rock,EarthResourceMaterialRole_2016,"The rock adjacent to, enclosing, or including a vein, layer, or dissemination of ore minerals. It is commonly altered by epigenetic processes. The term implies more specific adjacency than host rock or country rock.",,,,"Glossary of Geology. 5th Edition, AGI - online",top,,
39,agglomeration,ProcessingActivity_2016,"Agglomeration: process designed to bind together finely ground particles. The result is an agglomerate or a sinter.
Pelletization: process designed to produce spherical agglomerates of a few mm diameter, called pellets, through a rotating device (balling drum, balling disc) after the addition of some binding material (swelling clay, lime, cement, etc.) and water.",,,,"Dictionnaire thématique des mines et carrières, SIM Editor.",physico-chemical-treatment,,
40,anthophyllite,dh2loop_Minerals,,,,,,,,
41,approximately,dh2loop_ValueQualifier,,,,,,,,
42,arcuate_sheet,GeologicUnitMorphology_2016,Sheet in which one of L or W is a curved arc,,,,This vocabulary,sheet,,
43,amygdaloidal,,,,,,,,,
44,as per usual,dh2loop_RelativeLocation,,,,,,,,
45,arsenopyrite,"Chace, F.M. (1956)",,,,,,,,
46,as above but,dh2loop_RelativeLocation,,,,,,,,
47,amblygonite,"Chace, F.M. (1956)",,,,,,,,
48,apple green,dh2loop_Color,,,,,,,,
49,apophyllite,dh2loop_Minerals,,,,,,,,
50,annabergite,"Chace, F.M. (1956)",,,,,,,,
51,approximate,ValueQualifier_2016,Specified value is approximate,0,0,0,"GeoSciML UML model, definition this vocabulary",,,
52, actinolite ,"Chace, F.M. (1956)",,,,,,,,
53,alabandite,"Chace, F.M. (1956)",,,,,,,,
54,algodonite,"Chace, F.M. (1956)",,,,,,,,
55,alteration,EventProcess2016,General term for any change in the mineralogical or chemical composition of a rock. Typically related to interaction with hydrous fluids.,http://resource.geosciml.org/classifier/cgi/eventprocess/0002,0,0,"Fettes and Desmons, 2007",,,
56,agnilarite,"Chace, F.M. (1956)",,,,,,,,
57,andalusite,dh2loop_Minerals,,,,,,,,
58,anticlinal,dh2loop_EventProcess,,,,,,,,
59,adcumulate,,,,,,,,,
60,adsorption,ProcessingActivity_2016,"Taking up of ions, molecules or colloids on the surface of a material.",,,,"Dictionnaire thématique des mines et carrières, SIM Editor.",chemical-treatment,,
61,antigorite,dh2loop_Minerals,,,,,,,,
62,argyrodite,"Chace, F.M. (1956)",,,,,,,,
63,almandine,dh2loop_Minerals,,,,,,,,
64,anglesite,"Chace, F.M. (1956)",,,,,,,,
65,antlerite,"Chace, F.M. (1956)",,,,,,,,
66,avalanche,,,,,,,,,
67,anticline,dh2loop_EventProcess,,,,,,,,
68,asphaltic,"Chace, F.M. (1956)",,,,,,,,
69,autoclast,ParticleType_2016,"Fragments of extrusive igneous rock formed by mechanical friction of moving lava flow, breakage of chilled lava flow rinds, or gravity crumbling of active spines and domes. Gillespie and Styles (1999) include as type of juvenile pyroclastic fragment, inconsistent with definition of pyroclastic by IUGS and BGS.",,,,"Gillespie and Styles, 1999",granular_particle,,
70,abandoned,MineStatus_2016,A mine is abandoned - one reason or another,0,0,0,this vocabulary,,,
71,acanthite,"Chace, F.M. (1956)",,,,,,,,
72,accretion,EventProcess2016,The addition of material to a continent. Typically involves convergent or transform motion.,http://resource.geosciml.org/classifier/cgi/eventprocess/0001,,,"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p.",tectonic_process,,
73,amorphous,,,,,,,,,
74,andradite,dh2loop_Minerals,,,,,,,,
75,animikite,"Chace, F.M. (1956)",,,,,,,,
76,argentite,"Chace, F.M. (1956)",,,,,,,,
77,atacamite,"Chace, F.M. (1956)",,,,,,,,
78, allanite ,"Chace, F.M. (1956)",,,,,,,,
79,adularia,"Chace, F.M. (1956)",,,,,,,,
80,analcime,dh2loop_Minerals,,,,,,,,
81,analcite,"Chace, F.M. (1956)",,,,,,,,
82,asbolane,,,,,,,,,
83,axiolite,ParticleType_2016,Elongate to irregular lense with radial aggregates of acicular and fibrous mineral coalescing along a central axis.,,,,"Williams, Turner, Gilbert 1954",aggregate_non-clastic_particle,,
84,amygdule,ParticleType_2016,"Cavity filled with secondary minerals, denotes that cavities are filled vesicles, thus restricted to volcanic rock.",,,,based on Neuendorf et al 2005,cavity,,
85,anhedral,ParticleShape_2016,"Crystalline particles in a rock lack well-developed crystal faces, usually referring to igneous or metamorphic grains",,,,"MacKenzie, W.S., Donaldson, C.H. & Guilford, C., 1982. Atlas of igneous rocks and their textures. John Wiley & Sons, New York",top,,
86,abundant,"Chace, F.M. (1956)",,,,,,,,
87,adjacent,dh2loop_RelativeLocation,,,,,,,,
88,aegirine,dh2loop_Minerals,,,,,,,,
89,aikinite,"Chace, F.M. (1956)",,,,,,,,
90,andorite,"Chace, F.M. (1956)",,,,,,,,
91,ankerite,"Chace, F.M. (1956)",,,,,,,,
92,antimony,"Chace, F.M. (1956)",,,,,,,,
93,any_form,ParticleAspectRatio_2016,"Particle has some form, but it is not specified.",,,,this vocabulary,form_not_specified,,
94,archaean,dh2loop_GeologicTime,,,,,,,,
95,as above,dh2loop_RelativeLocation,,,,,,,,
96,autunite,"Chace, F.M. (1956)",,,,,,,,
97, apatite ,"Chace, F.M. (1956)",,,,,,,,
98,altaite,"Chace, F.M. (1956)",,,,,,,,
99,alunite,"Chace, F.M. (1956)",,,,,,,,
100,amalgam,"Chace, F.M. (1956)",,,,,,,,
101,angular,ParticleShape_2016,"A clastic sedimentary particle showing very little or no evidence of abrasion, with all of its edges and corners sharp, such as blocks with numerous (15-30) secondary corners and a roundness value between 0.17 and 0.25 (midpoint at 0.21).",0,0,0,"Powers, M. C., 1953 A new roundness scale for sedimentary particles. Journal of Sedimentary Petrology, v. 23, p. 117-119",,,
102,abyssal,EventEnvironment_2016,The ocean environment at water depths between 3500 and 6000 metres,http://resource.geosciml.org/classifier/cgi/eventenvironment/0003,,,"Neuendorf et al., 2005",marine_setting,,
103,abandon,dh2loop_MineStatus,,,,,,,,
104,ancient,dh2loop_GeologicTime,,,,,,,,
105,archean,dh2loop_GeologicTime,,,,,,,,
106,azimuth,dh2loop_ConventionCode,,,,,,,,
107,azurite,"Chace, F.M. (1956)",,,,,,,,
108, albite ,"Chace, F.M. (1956)",,,,,,,,
109,always,ValueQualifier_2016,All instances of the observed entity have this property value,,,,"GeoSciML UML model, definition this vocabulary",top,,
110,absent,dh2loop_ProportionTerms,,,,,,,,
111,approx,dh2loop_ValueQualifier,,,,,,,,
112,augite,"Chace, F.M. (1956)",,,,,,,,
113, agate ,dh2loop_Minerals,,,,,,,,
114, augen ,dh2loop_LineationType,,,,,,,,
115, axis ,dh2loop_ConventionCode,,,,,,,,
116, all ,ProportionTerms_2016,Component constitutes effectively 100 percent of the volume of the described entity.,,,,this vocabulary,dominant,,
117,bedding_cleavage_intersection_lineation,LineationType_2016,Lineation defined by the intersection of bedding surfaces and cleavage surfaces.,,,,this vocabulary,intersection_lineation,tectonic_lineation,
118,bedding_lamination_structure,FoliationType_2016,"A surface internal to the containing sediment mass defined by textural or mineralogical variation, produced by sediment deposition process, and reflecting the orientation of the original depositional surface. Syn Laminated structure (SLTTs 2004).",,,,SLTTs 2004,bedding_fabric,,
119,biotite_mineral_lineation,LineationType_2016,"Mineral lineation defined by aligned elongate biotite aggregates in a foliation surface. Biotite does not have an elongate (prismatic, acicular) mineral habit, so production of lineation must reflect elongate aggregates of biotite crystals.",,,,this vocabulary,mineral_lineation,,
120,biological_precipitation,EventProcess2016,The deposition of minerals from solution by the agency of organisms,http://resource.geosciml.org/classifier/cgi/eventprocess/0003,,,this vocabulary,deposition,,
121,biological_weathering,EventProcess2016,"breakdown of rocks by biological agents, e.g. the penetrating and expanding force of roots, the presence of moss and lichen causing humic acids to be retained in contact with rock, and the work of animals (worms, moles, rabbits) in modifying surface soil",http://resource.geosciml.org/classifier/cgi/eventprocess/0004,,,"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p.",weathering,,
122,biostratigraphic_unit,GeologicUnitType_2016,"Geologic unit defined based on fossil content. Five kinds of biozones are recognized by the revised NACSN (Lenz et al., 2000, Note 64, a recommended complete replacement of Articles 48 through 54 of the North American Stratigraphic Code (NACSN, 1983) accepted for publication 2000.): range biozone, interval biozone, lineage biozone, assemblage biozone, and abundance biozone. These represent different approaches to defining and recognizing biozones.",http://resource.geosciml.org/classifier/cgi/geologicunittype/0004,,,"Lenz et al., 2000, Note 64 (see AAPG Bulletin, v. 89, no. 11, November 2005), North American Stratigraphic Code, 1983",geologic_unit,,
123,bread_loaf_ellipsoid,GeologicUnitMorphology_2016,Ellipsoid with L 10 times W or H,,,,This vocabulary,ellipsoid,,
124,botanical-anomaly,EarthResourceExpression_2016,"The Earth resource, concealed or exposed, has an anomalous botanical signature (eg, particular plant growth or absence of plants).",,,,Australia/New Zealand Government Geoscience Information Committee (GGIC),top,,
125,biogenic_particle,ParticleType_2016,"A type of granular particle formed by the physiological activities of organisms (plants, animals, protozoa) that produce body parts which subsequently are incorporated into a sediment aggregate. Contrast with nonbiogenic particle. Includes biogenic objects that are whole or fragmentary (bioclasts), can be fossilized or non-fossilized",,,,NADM SLTTs 2004,granular_particle,,
126,braided_channel,EventEnvironment_2016,"A stream that divides into or follows an interlacing or tangled network of several small branching and reuniting shallow channels separated from each other by ephemeral branch islands or channel bars, resembling in plan the strands of a complex braid. Such a stream is generally believed to indicate an inability to carry all of its load, such as an overloaded and aggrading stream flowing in a wide channel on a floodplain",http://resource.geosciml.org/classifier/cgi/eventenvironment/0025,,,"Neuendorf et al., 2005",river_channel,,
127,barrier_lagoon,EventEnvironment_2016,A lagoon that is roughly parallel to the coast and is separated from the open ocean by a strip of land or by a barrier reef. Tidal influence is typically restricted and the lagoon is commonly hypersaline.,http://resource.geosciml.org/classifier/cgi/eventenvironment/0016,,,"Neuendorf et al., 2005",barrier_island_coastline_setting,lagoonal_setting,
128,bedding_fabric,FoliationType_2016,"Fabric defined by textural or mineralogic variations in sediment produced by depositional processes. May be manifested by lamination structure within the sediment, or by layering in which the individual layers (beds) are bounded by discontinuities related to events in the depositional history.",,,,"SLTTs 2004, this vocabulary",primary_foliation,,
129,bladed_medium,ParticleAspectRatio_2016,"S/L is between 0.3 and 0.5 and (L-I)/(L-S) is between 0.33 and 0.66 Sneed&Folk, (1958).",,,,"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004",bladed,,
130,blanket_shape,GeologicUnitMorphology_2016,"A thin, widespread body with width to thickness ratio greater than 1000 to 1 that covers an underlying substrate. A layer of known great lateral extent. Morphology equivalent to bed or layer, but implies that body forms the top of some unit, instead of occurring within a body.",,,,This vocabulary,geologic_body,,
131,bolide_impact,EventProcess2016,The impact of an extraterrestrial body on the surface of the earth,http://resource.geosciml.org/classifier/cgi/eventprocess/0005,,,this vocabulary,geologic_process,,
132,bed_lithosome,GeologicUnitPartRole_2016,Lithosome in lithostratigraphic unit that occurs as individual beds interleaved with other constituents on the outcrop (m) scale or larger.,,,,This vocabulary,lithosome,,
133,breithauptite,"Chace, F.M. (1956)",,,,,,,,
134,blanket-like,EarthResourceShape_2016,"A body having two dimensions that are much larger or longer than the third, e.g. a dyke-hosted or bed-hosted deposit",http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/tabular_prism,,,"Dictionary of Mining 2nd ed, AGI 1997, adapted from",top,,
135,boulangerite,"Chace, F.M. (1956)",,,,,,,,
136,becquerelite,"Chace, F.M. (1956)",,,,,,,,
137,bismuthinite,"Chace, F.M. (1956)",,,,,,,,
138,boudin_shape,GeologicUnitMorphology_2016,"Layer or bed of rock deformed into sausage-shaped segments (boudins), either separated or joined by pinched connections. Morphology generally defined in a profile view, third dimension is not denoted, use of term also implies that the body is not isolated, but is related to an original body elongate on some dimension that has been stretched and separated into separate bodies",,,,This vocabulary,geologic_body,,
139,baddeleyite,"Chace, F.M. (1956)",,,,,,,,
140,basin_shape,GeologicUnitMorphology_2016,"Geometric analog is convex down discoid, term generally connotes a kilometer-scale feature. Map view may be circular, elliptical, or irregular, characteristic feature is thickening from the edges towards the center.  Typically used to describe a body of sedimentary rock deposited in a low area in the Earth's crust, in which case there is an implication that the top is (or was) a surface of deposition.",,,,This vocabulary,geologic_body,,
141,botryoidal,,,,,,,,,
142,bentonitic,"Chace, F.M. (1956)",,,,,,,,
143,bournonite,"Chace, F.M. (1956)",,,,,,,,
144,brannerite,"Chace, F.M. (1956)",,,,,,,,
145,brecciated,,,,,,,,,
146,basin_bog,EventEnvironment_2016,An ombrotrophic or ombrogene peat/bog whose nutrient supply is exclusively from rain water (including snow and atmospheric fallout) therefore making nutrients extremely oligotrophic,http://resource.geosciml.org/classifier/cgi/eventenvironment/0017,,,"1-GE WP3; Neuendorf et al.(2005), p. 451",bog,,
147,bementite,"Chace, F.M. (1956)",,,,,,,,
148,bustamite,dh2loop_Minerals,,,,,,,,
149,blackish,dh2loop_Color,,,,,,,,
150,boulders,dh2loop_ParticleType,,,,,,,,
151,bowlders,dh2loop_ParticleType,,,,,,,,
152,bioclast,ParticleType_2016,"Granular sedimentary particle that is a ragmentary piece of a shell, bone, or other hard skeletal structure of an animal, plant, or protozoan. May be fossilized or non-fossilized\. Use in situations where fossil organism can not be identified, thus 'material fossil' is inappropriate.",,,,NADM SLTTs 2004,biogenic_particle,,
153,brightly,,,,,,,,,
154,becoming,,,,,,,,,
155,biotite-,dh2loop_Minerals,,,,,,,,
156,boundary,dh2loop_RelativeLocation,,,,,,,,
157,boxworks,,,,,,,,,
158,braunite,"Chace, F.M. (1956)",,,,,,,,
159,bravoite,"Chace, F.M. (1956)",,,,,,,,
160,brighter,,,,,,,,,
161,bronzite,dh2loop_Minerals,,,,,,,,
162,brookite,dh2loop_Minerals,,,,,,,,
163,brownish,dh2loop_Color,,,,,,,,
164,blueish,dh2loop_Color,,,,,,,,
165,boulder,dh2loop_ParticleType,,,,,,,,
166,brittle,DeformationStyle_2016,Deformation in fault zone has been accommodated primarily through fracturing and loss of continuity between adjacent rock bodies.,0,0,0,this vocabulary,,,
167,bathyal,EventEnvironment_2016,The ocean environment at water depths between 200 and 3500 metres,http://resource.geosciml.org/classifier/cgi/eventenvironment/0019,,,"Neuendorf et al., 2005",marine_setting,,
168,banding,"Chace, F.M. (1956)",,,,,,,,
169,base of,dh2loop_RelativeLocation,,,,,,,,
170,bauxite,"Chace, F.M. (1956)",,,,,,,,
171,bearing,dh2loop_ConventionCode,,,,,,,,
172,bedding,"Chace, F.M. (1956)",,,,,,,,
173,between,"Chace, F.M. (1956)",,,,,,,,
174,biotite,"Chace, F.M. (1956)",,,,,,,,
175,bornite,"Chace, F.M. (1956)",,,,,,,,
176,broader,dh2loop_ValueQualifier,"This relationship identifies the link between a source class term and target members or species. This type of relationship is often called 'IsA'. A simple way to apply the test for validity described above is to formulate the statement '[narrower term] is a [broader term].' This relationship is also amenable to a logical ll-and-some\ test. An example that passes this test is that some members of the class succulent plants are known as cacti and that all cacti, by definition and regardless of context, are succulent plants. An example that fails the test is that some members of the class 'desert plants' are known as 'cacti', some, but not all, 'cacti' are 'desert plants'. These terms should therefore be assigned to different hierarchies in the controlled vocabulary, and both terms should be assigned to the same content object when indexing a work on \cacti as desert plants..\ Inverse relationship 'narrower generic term' is not included in this ",,,,"National Information Standards Organization (NISO), 2005, Guidelines for the construction, format, and management of monolingual controlled vocabularies: ANSI/NISO Z39.19-2005, Bethesda Md., NISO Press, 184 pages, ISBN: 1-880124-65-3. (accessed at http://www.niso.org/standards/resources/Z39-19-2005.pdf, 6/19/06)",broader_term,,
177,brucite,dh2loop_Minerals,,,,,,,,
178,bladed,ParticleAspectRatio_2016,"Bladed group in Sneed&Folk, (1958), S/L is less than 0.7 and (L-I)/(L-S) is between 0.33 and 0.66.",0,0,0,"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004",,,
179,blebby,dh2loop_ParticleType,,,,,,,,
180,blocky,dh2loop_ParticleType,,,,,,,,
181,bluffs,,,,,,,,,
182,bluish,dh2loop_Color,,,,,,,,
183,barren,,,,,,,,,
184,bedded,"Chace, F.M. (1956)",,,,,,,,
185,better,,,,,,,,,
186,bogged,,,,,,,,,
187,border,"Chace, F.M. (1956)",,,,,,,,
188,bottom,"Chace, F.M. (1956)",,,,,,,,
189,bright,"Chace, F.M. (1956)",,,,,,,,
190,broken,"Chace, F.M. (1956)",,,,,,,,
191, bumpy ,,,,,,,,,
192, bump ,,,,,,,,,
193, blade ,,,,,,,,,
194, blebs ,dh2loop_ParticleType,,,,,,,,
195, below ,"Chace, F.M. (1956)",,,,,,,,
196, beryl ,dh2loop_Minerals,,,,,,,,
197, basin ,,,,,,,,,
198, break ,"Chace, F.M. (1956)",,,,,,,,
199, brown ,"Chace, F.M. (1956)",,,,,,,,
200, bleb ,ParticleType_2016,Generic term for a small rounded particle of uncertain origin,0,0,0,this vocabulary,,,
201, blob ,GeologicUnitMorphology_2016,"Body with smooth surface, broadly equant shape, irregular protuberances, no symmetry axes, and a boundary that can not be separated into sides.",,,,This vocabulary,three_dimensional_body,,
202, bulk ,,,,,,,,,
203, buck ,,,,,,,,,
204, buff ,"Chace, F.M. (1956)",,,,,,,,
205,interbedded,"Chace, F.M. (1956)",,,,,,,,
206,interbeded,dh2loop_RelativeLocation,,,,,,,,
207,interbeds,dh2loop_RelativeLocation,,,,,,,,
208,interbed,,,,,,,,,
209, box ,,,,,,,,,
210,crystalline_framework_constituent,CompoundMaterialConstituentPartRole_2016,Constituent forms an interconnected network of discernible crystals.,http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/0009,,,This vocabulary,particulate_constituent,,
211,cleavage_intersection_lineation,LineationType_2016,Lineation defined by the intersection of two cleavages.,,,,this vocabulary,intersection_lineation,tectonic_lineation,
212,continuous_crenulation_cleavage,FoliationType_2016,"Cleavage defined by long, thin limbs of crenulation folds of pre-existing foliation, in which the boundaries between cleavage domains and lithons are gradational. Both the crenulation foliation and the crenulated (older) foliation are easily visible. Grades to spaced crenulation cleavage as boundaries of cleavage domains become sharp, and to schistosity or compositional layering as the crenulation foliation obscures the crenulated foliation to become the dominant fabric in the rock. In many rocks with continuous crenulation cleavage, the tendency to part along the cleavage may be weak, thus the rock may not technically meet the definition of 'cleavage as used in this vocabulary.",,,,Borradaile et al 1982,continuous_cleavage,crenulation_cleavage,
213,constituent_role_not_specified,CompoundMaterialConstituentPartRole_2016,For descriptions in which role of constituent in compound material is not specified.,http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/0006,,,This vocabulary,top,,
214,clast_supporting_orthomatrix,CompoundMaterialConstituentPartRole_2016,Orthomatrix in matrix supported sedimentary rock.,http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/0004,,,This vocabulary,orthomatrix,,
215,cleavage_parallel_to_bedding,FoliationType_2016,Composite fabric in which a cleavage is developed parallel to bedding.,,,,this vocabulary,cleavage,compound_foliation,
216,consolidation_not_specified,ConsolidationDegree_2016,"In normative descriptions, indicates that consolidation state is not a determining factor in identification, it may have any value.",http://resource.geosciml.org/classifier/cgi/consolidationdegree/0002,,,This vocabulary,top,,
217,crude_or_indistinct_bedding,FoliationType_2016,"Bedding defined by surfaces that are not distinct, e.g. by gradational grain size variations.",,,,this vocabulary,bedding_fabric,,
218,cryptomicrobial_lamination,FoliationType_2016,Fabric defined by fine laminae formed by the trapping of grains and lime precipitation in a microbial mat.,,,,GGIPAC,bedding_lamination_structure,,
219,chronostratigraphic_unit,GeologicUnitType_2016,Geologic unit that includes all rocks formed during a specific interval of geologic time,http://resource.geosciml.org/classifier/cgi/geologicunittype/0005,,,"Salvador, A., 1994, International Stratigraphic Guide, Second Edition",geologic_unit,,
220,calcsilicate_alteration,AlterationType_2016,missing,http://resource.geosciml.org/classifier/cgi/alterationtype/0006,,,this vocabulary,alteration_not_specified,,
221,cyclic_bedding_package,GeologicUnitPartRole_2016,"Lithosome characterized by an internal sequence of units, which is repeated in a stacked sequence, e.g. fining-upward sequence, thickening upward sequence, bouma sequence.",,,,This vocabulary,lithosome,,
222,consolidation_variable,ConsolidationDegree_2016,Consolidation ranges from unconsolidated to indurated on scale of description,http://resource.geosciml.org/classifier/cgi/consolidationdegree/0003,,,This vocabulary,consolidation_not_specified,,
223,chemical_precipitation,EventProcess2016,The deposition of mineral matter by precipitation from solution or as a result of chemical reactions. May be sedimentary or hydrothermal.,http://resource.geosciml.org/classifier/cgi/eventprocess/0006,,,"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p.",metamorphic_process,deposition,
224,compositional_layering,FoliationType_2016,Layering fabric defined by layers that have different mineralogic composition.,,,,"this vocabulary, submitted by British Antarctic Survey",layering,,
225,concretionary_particle,ParticleType_2016,"A hard, compact mass or aggregate of mineral matter, normally subsperical but commonly oblate, disc-shaped or irregular. Formed by precipitation of mineral from solution in the pores of a granular rock, localized around a nucleus or center, to define a discrete, sharply separated object. Size ranges from cm to meters. Particle geometry description for concretion describes the concretion size and shape, not the size and shape of particles forming the concretion.",,,,"Neuendorf et al, 2005",aggregate_non-clastic_particle,,
226,crenulation_lineation,LineationType_2016,"Lineation defined by small-scale wrinkles, typically of phylosillicate minerals, on another surface, typically a cleavage or schistosity. Use instead of intersection lineation if the wrinkles are the measured feature and the intersecting planar feature is not apparent.",,,,this vocabulary,tectonic_lineation,,
227,continental_collision,EventProcess2016,The amalgamation of two continental plates or blocks along a convergent margin.,http://resource.geosciml.org/classifier/cgi/eventprocess/0011,,,this vocabulary,tectonic_process,,
228,chloritic_alteration,AlterationType_2016,missing,http://resource.geosciml.org/classifier/cgi/alterationtype/0008,,,this vocabulary,alteration_not_specified,,
229,crenulation_cleavage,FoliationType_2016,"Cleavage that is overprinted on an older foliation that is folded to some degree in association with development of the younger cleavage. Cleavage domains commonly associated with long limbs of crenulation folds, and hinge surfaces of folds are roughly parallel. Wavelength of crenulation folds is less than or equal to 1 cm. Cleavage defined by limbs of microfolds coincident with zones of mineral differentiation",,,,"Brodie, Kate, Fettes, Douglas, and Harte, Ben, 2007, Structural terms including fault rock terms, in Fettes, D., and Desmons, J., Metamorphic rocks-A classification and Glossary of Terms: Cambridge, UK, Cambridge University Press, p. 24-31.",cleavage,,
230,carbonate_alteration,AlterationType_2016,missing,http://resource.geosciml.org/classifier/cgi/alterationtype/0007,,,this vocabulary,alteration_not_specified,,
